claim_id,claim_text,true_label,raw_evidence,gold_evidence,example_id,claim,gold_label,model,condition,model_output,correct,error_type,notes
28324,Muscarinic acetylcholine receptors are actylcholine receptors.,Supported,"[[[44444,53109,""Muscarinic_acetylcholine_receptor"",0]]]",,28324,Muscarinic acetylcholine receptors are actylcholine receptors.,Supported,,,,,,
142717,A person who was born in August discovered Uranium-235.,Supported,"[[[165776,179761,""Uranium-235"",6],[165776,179761,""Arthur_Jeffrey_Dempster"",0]]]",,142717,A person who was born in August discovered Uranium-235.,Supported,,,,,,
183447,Henry III of France was murdered.,Supported,"[[[213523,220748,""Henry_III_of_France"",23]]]",,183447,Henry III of France was murdered.,Supported,,,,,,
41265,Carlos Santana is a musician.,Supported,"[[[57551,67781,""Carlos_Santana"",0]],[[57551,67782,""Carlos_Santana"",4]]]",,41265,Carlos Santana is a musician.,Supported,,,,,,
188640,Foot Locker operates in only 11 countries.,Refuted,"[[[220199,226029,""Foot_Locker"",0]]]",,188640,Foot Locker operates in only 11 countries.,Refuted,,,,,,
37715,The CONCACAF Champions League is organized for the top baseball clubs.,Refuted,"[[[111663,125468,""CONCACAF_Champions_League"",0]],[[111663,125469,""CONCACAF_Champions_League"",1],[111663,125469,""FIFA_Club_World_Cup"",0]],[[114650,128394,""CONCACAF_Champions_League"",0]],[[115246,129068,""CONCACAF_Champions_League"",0]],[[308313,298716,""CONCACAF_Champions_League"",0]],[[309789,299920,""CONCACAF_Champions_League"",0]],[[309791,299922,""CONCACAF_Champions_League"",0]],[[309793,299923,""CONCACAF_Champions_League"",0]]]",,37715,The CONCACAF Champions League is organized for the top baseball clubs.,Refuted,,,,,,
141072,Telemundo is owned by ESPN.,Refuted,"[[[164085,178319,""Telemundo"",0]]]",,141072,Telemundo is owned by ESPN.,Refuted,,,,,,
135113,"The Raven (2012 film) was released in the United States on April 27, 2012.",Supported,"[[[157688,172294,""The_Raven_-LRB-2012_film-RRB-"",10]]]",,135113,"The Raven (2012 film) was released in the United States on April 27, 2012.",Supported,,,,,,
153654,Luis Fonsi is a Texan.,Refuted,"[[[178830,191371,""Luis_Fonsi"",0]],[[178831,191372,""Luis_Fonsi"",0]]]",,153654,Luis Fonsi is a Texan.,Refuted,,,,,,
70310,The Maze Runner is a motion picture.,Supported,"[[[86975,99452,""The_Maze_Runner_-LRB-film-RRB-"",0]]]",,70310,The Maze Runner is a motion picture.,Supported,,,,,,
122692,The Residenztheater is where Hedda Gabler's world premiere took place.,Supported,"[[[144062,159136,""Hedda_Gabler"",1]]]",,122692,The Residenztheater is where Hedda Gabler's world premiere took place.,Supported,,,,,,
26289,Fist of Legend is a direct sequel to Fist of Fury.,Refuted,"[[[42342,50949,""Fist_of_Legend"",2]]]",,26289,Fist of Legend is a direct sequel to Fist of Fury.,Refuted,,,,,,
20603,"Yemen does not have an area of 203,850 square miles.",Supported,"[[[36401,43992,""Yemen"",1]]]",,20603,"Yemen does not have an area of 203,850 square miles.",Supported,,,,,,
25290,The Love Club EP is the debut extended play by Jayden Smith.,Refuted,"[[[41240,49575,""The_Love_Club_EP"",0]]]",,25290,The Love Club EP is the debut extended play by Jayden Smith.,Refuted,,,,,,
207332,Military deception is a form of disinformation.,Supported,"[[[245180,246061,""Military_deception"",2]]]",,207332,Military deception is a form of disinformation.,Supported,,,,,,
183917,Gotham City Sirens was illustrated by Guillem March in 1954.,Refuted,"[[[216385,223035,""Gotham_City_Sirens"",4]]]",,183917,Gotham City Sirens was illustrated by Guillem March in 1954.,Refuted,,,,,,
51683,Toy Story 2 was released by North Korea.,Refuted,"[[[160484,174988,""Toy_Story_2"",0]],[[162191,176517,""Toy_Story_2"",0]],[[163369,177587,""Toy_Story_2"",0]],[[313370,303001,""Toy_Story_2"",0],[313370,303001,""Walt_Disney_Pictures"",0],[313370,303001,""Walt_Disney_Pictures"",1]]]",,51683,Toy Story 2 was released by North Korea.,Refuted,,,,,,
194222,Mike Friedrich is only German.,Refuted,"[[[227462,231839,""Mike_Friedrich"",0]],[[227464,231841,""Mike_Friedrich"",0]],[[227466,231843,""Mike_Friedrich"",0]]]",,194222,Mike Friedrich is only German.,Refuted,,,,,,
46059,An exampled of a folk hero was Bhagat Singh.,Supported,"[[[62388,72988,""Bhagat_Singh"",19]],[[62388,72989,""Bhagat_Singh"",0]]]",,46059,An exampled of a folk hero was Bhagat Singh.,Supported,,,,,,
19169,"Poseidon lost $181,674,817.",Refuted,"[[[34940,42358,""Poseidon_-LRB-film-RRB-"",6]]]",,19169,"Poseidon lost $181,674,817.",Refuted,,,,,,
86474,Benzodiazepine is a medication.,Supported,"[[[103631,117080,""Benzodiazepine"",2]],[[103631,117081,""Benzodiazepine"",7]]]",,86474,Benzodiazepine is a medication.,Supported,,,,,,
150964,Knocked Up is a town.,Refuted,"[[[174767,187901,""Knocked_Up"",0]]]",,150964,Knocked Up is a town.,Refuted,,,,,,
121468,Homo sapiens are on the IUCN Red List.,Supported,"[[[142645,157800,""Homo_sapiens"",3]]]",,121468,Homo sapiens are on the IUCN Red List.,Supported,,,,,,
163795,Ukrainian Soviet Socialist Republic was a founding member of the UN.,Supported,"[[[188458,199861,""Ukrainian_Soviet_Socialist_Republic"",7]]]",,163795,Ukrainian Soviet Socialist Republic was a founding member of the UN.,Supported,,,,,,
165890,"Alice Cooper was born on February 4th, 1948.",Supported,"[[[190752,201716,""Alice_Cooper"",0]]]",,165890,"Alice Cooper was born on February 4th, 1948.",Supported,,,,,,
203156,Polynesian languages include Tahitian.,Supported,"[[[239605,241387,""Polynesian_languages"",6]]]",,203156,Polynesian languages include Tahitian.,Supported,,,,,,
104135,Anneliese van der Pol is a mayor.,Refuted,"[[[122256,136529,""Anneliese_van_der_Pol"",0]]]",,104135,Anneliese van der Pol is a mayor.,Refuted,,,,,,
5578,Australia (2008 film) production took place in Kununurra.,Supported,"[[[23104,28449,""Australia_-LRB-2008_film-RRB-"",4]]]",,5578,Australia (2008 film) production took place in Kununurra.,Supported,,,,,,
70882,Jackie (2016 film) was directed by Peter Jackson.,Refuted,"[[[87546,100029,""Jackie_-LRB-2016_film-RRB-"",0]]]",,70882,Jackie (2016 film) was directed by Peter Jackson.,Refuted,,,,,,
93610,Britt Robertson is an entertainer.,Supported,"[[[110986,124654,""Britt_Robertson"",0]],[[110986,124655,""Britt_Robertson"",1]],[[110986,124656,""Britt_Robertson"",2]],[[110986,124657,""Britt_Robertson"",3]],[[110986,124658,""Britt_Robertson"",6]],[[110986,124659,""Britt_Robertson"",7]],[[110986,124660,""Britt_Robertson"",8]],[[110986,124661,""Britt_Robertson"",9]],[[110986,124662,""Britt_Robertson"",12]],[[110986,124663,""Britt_Robertson"",13]],[[110986,124664,""Britt_Robertson"",14]],[[110986,124665,""Britt_Robertson"",15]]]",,93610,Britt Robertson is an entertainer.,Supported,,,,,,
79525,"The first inauguration of Bill Clinton was held on June 20th, 1993.",Refuted,"[[[98022,111157,""First_inauguration_of_Bill_Clinton"",0]]]",,79525,"The first inauguration of Bill Clinton was held on June 20th, 1993.",Refuted,,,,,,
102745,Uganda was not a protectorate.,Refuted,"[[[122297,136556,""Uganda"",11]]]",,102745,Uganda was not a protectorate.,Refuted,,,,,,
116870,A River Runs Through It has been nominated for an Oscar.,Supported,"[[[137229,152054,""A_River_Runs_Through_It_-LRB-film-RRB-"",5]]]",,116870,A River Runs Through It has been nominated for an Oscar.,Supported,,,,,,
200262,Quentin Tarantino's original screenplay was the basis for the film Natural Born Killers.,Supported,"[[[235571,238191,""Natural_Born_Killers"",5]]]",,200262,Quentin Tarantino's original screenplay was the basis for the film Natural Born Killers.,Supported,,,,,,
136214,Two and a Half Men is an American television sitcom released in 1999.,Refuted,"[[[158868,173523,""Two_and_a_Half_Men"",0]]]",,136214,Two and a Half Men is an American television sitcom released in 1999.,Refuted,,,,,,
93839,Michael B. Jordan was born in 2005.,Refuted,"[[[111229,124863,""Michael_B._Jordan"",0]]]",,93839,Michael B. Jordan was born in 2005.,Refuted,,,,,,
22441,Richard Kuklinski committed crimes.,Supported,"[[[38287,46228,""Richard_Kuklinski"",6]],[[38287,46229,""Richard_Kuklinski"",15]],[[38287,46230,""Richard_Kuklinski"",19]]]",,22441,Richard Kuklinski committed crimes.,Supported,,,,,,
173505,Sancho Panza is a character in a novel written by an author.,Supported,"[[[200465,209970,""Sancho_Panza"",0]]]",,173505,Sancho Panza is a character in a novel written by an author.,Supported,,,,,,
1709,The IPhone 4 was marketed by Apple Inc..,Supported,"[[[17451,21604,""IPhone_4"",0]]]",,1709,The IPhone 4 was marketed by Apple Inc..,Supported,,,,,,
