claim_id,claim_text,true_label,raw_evidence,gold_evidence,example_id,claim,gold_label,model,condition,model_output,correct,error_type,notes
125803,Jason Bourne is a book.,Refuted,"[[[147603,162623,""Jason_Bourne_-LRB-film-RRB-"",0]]]",,125803,Jason Bourne is a book.,Refuted,,,,,,
132133,Paramore is Canadian.,Refuted,"[[[154553,169267,""Paramore"",0]],[[154553,169268,""Paramore"",10],[154553,169268,""Crushcrushcrush"",0],[154553,169268,""Misery_Business"",0]],[[154553,169269,""Paramore"",13],[154553,169269,""Brand_New_Eyes"",0]],[[154553,169270,""Paramore"",14],[154553,169270,""The_Only_Exception"",0]],[[154553,169271,""Paramore"",17],[154553,169271,""Paramore_-LRB-album-RRB-"",0]],[[154553,169272,""Paramore"",19],[154553,169272,""Still_Into_You"",0]]]",,132133,Paramore is Canadian.,Refuted,,,,,,
55538,Granite is a solid.,Supported,"[[[71902,82884,""Granite"",0]]]",,55538,Granite is a solid.,Supported,,,,,,
12682,"The Romani people originated in Northern India 50,000 years ago.",Refuted,"[[[27927,34226,""Romani_people"",9]]]",,12682,"The Romani people originated in Northern India 50,000 years ago.",Refuted,,,,,,
209360,Alexandria serves less than half of Egypt's imports and exports.,Refuted,"[[[247844,248146,""Alexandria"",2]]]",,209360,Alexandria serves less than half of Egypt's imports and exports.,Refuted,,,,,,
117056,Taylor Lautner was unable to appear on My Wife and Kids.,Refuted,"[[[137410,152292,""Taylor_Lautner"",4]]]",,117056,Taylor Lautner was unable to appear on My Wife and Kids.,Refuted,,,,,,
11091,Hinduism contains zero philosophies.,Refuted,"[[[26284,32295,""Hinduism"",6]]]",,11091,Hinduism contains zero philosophies.,Refuted,,,,,,
38678,Zac Efron's middle names are Francis and John.,Refuted,"[[[54884,64894,""Zac_Efron"",0]]]",,38678,Zac Efron's middle names are Francis and John.,Refuted,,,,,,
44497,Histamine prevents neuromodulation.,Refuted,"[[[60878,71333,""Neuromodulation"",3]]]",,44497,Histamine prevents neuromodulation.,Refuted,,,,,,
55295,Colombiana is a film.,Supported,"[[[71651,82636,""Colombiana"",0]]]",,55295,Colombiana is a film.,Supported,,,,,,
165702,Simon Cowell was asked to step down as a judge for the show the season before American Idol (season 8).,Refuted,"[[[190526,201529,""American_Idol_-LRB-season_8-RRB-"",1]]]",,165702,Simon Cowell was asked to step down as a judge for the show the season before American Idol (season 8).,Refuted,,,,,,
173713,Earl Scruggs played bluegrass music.,Supported,"[[[200739,210210,""Earl_Scruggs"",0]]]",,173713,Earl Scruggs played bluegrass music.,Supported,,,,,,
4778,Betsy Hodges was a candidate for a 2013 election.,Supported,"[[[11407,14352,""Betsy_Hodges"",5]],[[11409,14354,""Betsy_Hodges"",5]]]",,4778,Betsy Hodges was a candidate for a 2013 election.,Supported,,,,,,
114249,Girls' Generation covered the song Rhythm Nation.,Supported,"[[[134169,149070,""Rhythm_Nation"",23]]]",,114249,Girls' Generation covered the song Rhythm Nation.,Supported,,,,,,
194344,Happiness in Slavery is a song by an American band.,Refuted,"[[[227640,231982,""Happiness_in_Slavery"",0],[227640,231982,""Broken_-LRB-EP-RRB-"",0]]]",,194344,Happiness in Slavery is a song by an American band.,Refuted,,,,,,
30122,The IPhone 4 is a dial telephone.,Refuted,"[[[46256,55215,""IPhone_4"",0]],[[46256,55216,""IPhone_4"",1],[46256,55216,""IPhone"",11]],[[46256,55217,""IPhone_4"",2],[46256,55217,""IPhone_3GS"",0]],[[46256,55218,""IPhone_4"",5]],[[46256,55219,""IPhone_4"",7],[46256,55219,""Apple_A4"",2]],[[46256,55220,""IPhone_4"",11]],[[46256,55221,""IPhone_4"",16]]]",,30122,The IPhone 4 is a dial telephone.,Refuted,,,,,,
71058,Salt River Valley contains the Massachusetts Bay Transit Authority.,Refuted,"[[[87720,100229,""Salt_River_Valley"",0]]]",,71058,Salt River Valley contains the Massachusetts Bay Transit Authority.,Refuted,,,,,,
38255,There is a Showtime series with Nicholas Brody as a character.,Supported,"[[[54442,64449,""Nicholas_Brody"",1]],[[54443,64450,""Nicholas_Brody"",1]],[[54444,64451,""Nicholas_Brody"",1]]]",,38255,There is a Showtime series with Nicholas Brody as a character.,Supported,,,,,,
47785,San Francisco Bay Area contains many airports.,Supported,"[[[64165,74897,""San_Francisco_Bay_Area"",3]]]",,47785,San Francisco Bay Area contains many airports.,Supported,,,,,,
6079,Soul Food was produced by Kenneth Edmonds.,Supported,"[[[22803,28102,""Soul_Food_-LRB-film-RRB-"",0]]]",,6079,Soul Food was produced by Kenneth Edmonds.,Supported,,,,,,
161222,Gal Gadot was ranked ahead of Shlomit Malka for Israel's highest earning actress/models.,Supported,"[[[185764,197551,""Gal_Gadot"",4]]]",,161222,Gal Gadot was ranked ahead of Shlomit Malka for Israel's highest earning actress/models.,Supported,,,,,,
75393,"Pierce County, Washington is the location of the shortest mountain of the Cascade Range of the Pacific Northwest.",Refuted,"[[[92181,104956,""Pierce_County,_Washington"",10]]]",,75393,"Pierce County, Washington is the location of the shortest mountain of the Cascade Range of the Pacific Northwest.",Refuted,,,,,,
99060,You Belong with Me isn't a song.,Refuted,"[[[116699,130583,""You_Belong_with_Me"",0]],[[116699,130584,""You_Belong_with_Me"",1]]]",,99060,You Belong with Me isn't a song.,Refuted,,,,,,
160050,Levoamphetamine improves the ability to stay conscious and awake.,Supported,"[[[184502,196388,""Levoamphetamine"",0]]]",,160050,Levoamphetamine improves the ability to stay conscious and awake.,Supported,,,,,,
222768,Practical Magic is based on a French novel that was written by Alice Hoffman.,Refuted,"[[[265373,262593,""Practical_Magic"",0],[265373,262593,""Alice_Hoffman"",0]]]",,222768,Practical Magic is based on a French novel that was written by Alice Hoffman.,Refuted,,,,,,
4529,John Dolmayan is a musician.,Supported,"[[[20841,25532,""John_Dolmayan"",0]],[[20841,25533,""John_Dolmayan"",1]],[[20841,25534,""John_Dolmayan"",2]],[[20841,25535,""John_Dolmayan"",4]]]",,4529,John Dolmayan is a musician.,Supported,,,,,,
168041,Larry Wilmore is Canadian.,Refuted,"[[[193467,203968,""Larry_Wilmore"",0]]]",,168041,Larry Wilmore is Canadian.,Refuted,,,,,,
174606,"757,000 copies were sold of Artpop.",Supported,"[[[201869,211224,""Artpop"",13]]]",,174606,"757,000 copies were sold of Artpop.",Supported,,,,,,
56735,The Blue Dog Coalition was formed.,Supported,"[[[73073,84271,""Blue_Dog_Coalition"",3]]]",,56735,The Blue Dog Coalition was formed.,Supported,,,,,,
81301,Times Higher Education World University Rankings comes out weekly.,Refuted,"[[[98350,111460,""Times_Higher_Education_World_University_Rankings"",0]]]",,81301,Times Higher Education World University Rankings comes out weekly.,Refuted,,,,,,
155484,Guns N' Roses is a hard rock band.,Supported,"[[[179552,192125,""Guns_N'_Roses"",0]],[[179552,192126,""Guns_N'_Roses"",1],[179552,192126,""Axl_Rose"",1]],[[179552,192127,""Guns_N'_Roses"",5],[179552,192127,""Appetite_for_Destruction"",0]],[[179552,192128,""Guns_N'_Roses"",8],[179552,192128,""Use_Your_Illusion_II"",0]],[[179552,192129,""Guns_N'_Roses"",13],[179552,192129,""Chinese_Democracy"",0]],[[179552,192130,""Guns_N'_Roses"",20],[179552,192130,""Matt_Sorum"",1]],[[179552,192131,""Guns_N'_Roses"",24],[179552,192131,""Richard_Fortus"",1]]]",,155484,Guns N' Roses is a hard rock band.,Supported,,,,,,
46384,The White House Press Secretary is a senior White House official.,Supported,"[[[141572,156805,""White_House_Press_Secretary"",0]],[[143564,158683,""White_House_Press_Secretary"",0]],[[310980,301002,""White_House_Press_Secretary"",0]],[[310981,301003,""White_House_Press_Secretary"",0]],[[310986,301014,""White_House_Press_Secretary"",0]],[[310987,301015,""White_House_Press_Secretary"",0]]]",,46384,The White House Press Secretary is a senior White House official.,Supported,,,,,,
178909,Dawood Ibrahim is originally from the capital city of the Indian state of Kerala.,Refuted,"[[[207539,215785,""Dawood_Ibrahim"",0],[207539,215785,""Mumbai"",0]]]",,178909,Dawood Ibrahim is originally from the capital city of the Indian state of Kerala.,Refuted,,,,,,
137094,Elizabeth of York's uncle was Richard III.,Supported,"[[[159835,174322,""Elizabeth_of_York"",2]],[[159835,174323,""Elizabeth_of_York"",9]]]",,137094,Elizabeth of York's uncle was Richard III.,Supported,,,,,,
204643,Rio's sequel is a 2014 book.,Refuted,"[[[241690,243213,""Rio_-LRB-2011_film-RRB-"",20],[241690,243213,""Rio_2"",0],[241690,243213,""Rio_2"",1],[241690,243213,""Rio_2"",3]]]",,204643,Rio's sequel is a 2014 book.,Refuted,,,,,,
207000,Punch-Drunk Love was directed by Revolution Studios and New Line Cinema.,Refuted,"[[[244764,245687,""Punch-Drunk_Love"",0]]]",,207000,Punch-Drunk Love was directed by Revolution Studios and New Line Cinema.,Refuted,,,,,,
116711,Black Canary is a character in comic books published by DC Comics.,Supported,"[[[137077,151904,""Black_Canary"",0]]]",,116711,Black Canary is a character in comic books published by DC Comics.,Supported,,,,,,
171622,Dave Gibbons has always been unable to letter.,Refuted,"[[[198052,207996,""Dave_Gibbons"",0]]]",,171622,Dave Gibbons has always been unable to letter.,Refuted,,,,,,
73978,Speech recognition incorporates knowledge and research into multiple fields.,Supported,"[[[90750,103466,""Speech_recognition"",2],[90750,103466,""Linguistics"",0]]]",,73978,Speech recognition incorporates knowledge and research into multiple fields.,Supported,,,,,,
85571,The Mormon population has increased significantly in recent decades.,Supported,"[[[102744,116052,""Mormons"",24]]]",,85571,The Mormon population has increased significantly in recent decades.,Supported,,,,,,
225277,Brian De Palma directs television but has yet to direct film.,Refuted,"[[[268454,265035,""Brian_De_Palma"",0]],[[268454,265036,""Brian_De_Palma"",5]]]",,225277,Brian De Palma directs television but has yet to direct film.,Refuted,,,,,,
124862,How to Train Your Dragon 2 used old animation software.,Refuted,"[[[146470,161433,""How_to_Train_Your_Dragon_2"",11]],[[146471,161434,""How_to_Train_Your_Dragon_2"",11]]]",,124862,How to Train Your Dragon 2 used old animation software.,Refuted,,,,,,
108598,Freddie Highmore starred in the television series Bates Motel as Norman Bates.,Supported,"[[[127414,141969,""Freddie_Highmore"",5]]]",,108598,Freddie Highmore starred in the television series Bates Motel as Norman Bates.,Supported,,,,,,
206021,There is a show called The Office (US).,Supported,"[[[243489,244694,""The_Office_-LRB-U.S._TV_series-RRB-"",0]],[[243489,244695,""The_Office_-LRB-U.S._TV_series-RRB-"",2]],[[243489,244696,""The_Office_-LRB-U.S._TV_series-RRB-"",9]],[[243489,244697,""The_Office_-LRB-U.S._TV_series-RRB-"",13]]]",,206021,There is a show called The Office (US).,Supported,,,,,,
185172,You Only Live Twice is the first Bond film directed by James Cameron.,Refuted,"[[[215775,222557,""You_Only_Live_Twice_-LRB-film-RRB-"",12]]]",,185172,You Only Live Twice is the first Bond film directed by James Cameron.,Refuted,,,,,,
113098,"The Concert for Bangladesh raised close to $250,000 for Haiti relief.",Refuted,"[[[132671,147602,""The_Concert_for_Bangladesh"",12]]]",,113098,"The Concert for Bangladesh raised close to $250,000 for Haiti relief.",Refuted,,,,,,
102751,Neil Diamond is not a songwriter.,Refuted,"[[[120636,134877,""Neil_Diamond"",0]],[[120636,134878,""Neil_Diamond"",1]],[[120641,134887,""Neil_Diamond"",0]],[[120641,134889,""Neil_Diamond"",8],[120641,134889,""America_-LRB-Neil_Diamond_song-RRB-"",0],[120641,134889,""Desiree_-LRB-song-RRB-"",0],[120641,134889,""Heartlight_-LRB-song-RRB-"",0],[120641,134889,""If_You_Know_What_I_Mean"",0],[120641,134889,""Longfellow_Serenade"",0],[120641,134889,""Longfellow_Serenade"",1],[120641,134889,""Song_Sung_Blue"",0]],[[120641,134890,""Neil_Diamond"",9],[120641,134890,""Sweet_Caroline"",0]]]",,102751,Neil Diamond is not a songwriter.,Refuted,,,,,,
123285,Noah Cyrus was born in 1991.,Refuted,"[[[144788,159808,""Noah_Cyrus"",0]],[[144789,159809,""Noah_Cyrus"",0]]]",,123285,Noah Cyrus was born in 1991.,Refuted,,,,,,
184067,"Kenneth Lonergan was born March 16, 1962.",Refuted,"[[[214272,221353,""Kenneth_Lonergan"",0]]]",,184067,"Kenneth Lonergan was born March 16, 1962.",Refuted,,,,,,
202027,Tamerlan Tsarnaev carjacked an SUV.,Supported,"[[[237967,240126,""Tamerlan_Tsarnaev"",8]]]",,202027,Tamerlan Tsarnaev carjacked an SUV.,Supported,,,,,,
