claim_id,claim_text,true_label,raw_evidence,gold_evidence,example_id,claim,gold_label,model,condition,model_output,correct,error_type,notes
63627,Rhythm Nation was covered by an American singer and songwriter.,Supported,"[[[80568,92407,""Rhythm_Nation"",23],[80568,92407,""Pink_-LRB-singer-RRB-"",0]]]",,63627,Rhythm Nation was covered by an American singer and songwriter.,Supported,,,,,,
177974,"In some cultures, money is given away instead of candy when Trick-or-Treating.",Supported,"[[[206289,214678,""Trick-or-treating"",1]]]",,177974,"In some cultures, money is given away instead of candy when Trick-or-Treating.",Supported,,,,,,
119519,Scotty Moore was American and Irish.,Refuted,"[[[140448,155514,""Scotty_Moore"",0]]]",,119519,Scotty Moore was American and Irish.,Refuted,,,,,,
225863,Revolver topped America's Billboard Top LP's list for six weeks in 1965.,Supported,"[[[269255,265636,""Revolver_-LRB-Beatles_album-RRB-"",16]]]",,225863,Revolver topped America's Billboard Top LP's list for six weeks in 1965.,Supported,,,,,,
17718,Hourglass is the sixteenth studio album of James Taylor.,Refuted,"[[[33208,40289,""Hourglass_-LRB-James_Taylor_album-RRB-"",0]],[[33210,40290,""Hourglass_-LRB-James_Taylor_album-RRB-"",0]]]",,17718,Hourglass is the sixteenth studio album of James Taylor.,Refuted,,,,,,
30673,Sebastian Stan hasn't acted in a miniseries.,Refuted,"[[[46836,55850,""Sebastian_Stan"",1]],[[46836,55851,""Sebastian_Stan"",2],[46836,55851,""Political_Animals_-LRB-miniseries-RRB-"",0]]]",,30673,Sebastian Stan hasn't acted in a miniseries.,Refuted,,,,,,
203374,Goosebumps (film) is based on a story by Jane Austen.,Refuted,"[[[239902,241587,""Goosebumps_-LRB-film-RRB-"",1]],[[239911,241594,""Goosebumps_-LRB-film-RRB-"",0]]]",,203374,Goosebumps (film) is based on a story by Jane Austen.,Refuted,,,,,,
2405,Derek Hough starred in Make Your Move.,Supported,"[[[18216,22382,""Derek_Hough"",6]]]",,2405,Derek Hough starred in Make Your Move.,Supported,,,,,,
25247,The Bee Gees produced music.,Supported,"[[[41311,49645,""Bee_Gees"",11],[41311,49645,""Spicks_and_Specks_-LRB-song-RRB-"",0]],[[41311,49646,""Bee_Gees"",4]]]",,25247,The Bee Gees produced music.,Supported,,,,,,
112777,Exercise lowers resting heart rate.,Supported,"[[[132302,147198,""Heart"",19]]]",,112777,Exercise lowers resting heart rate.,Supported,,,,,,
66211,Psych (season 2) originally aired off of the USA Network.,Refuted,"[[[82776,94636,""Psych_-LRB-season_2-RRB-"",0]]]",,66211,Psych (season 2) originally aired off of the USA Network.,Refuted,,,,,,
197364,Simón Bolívar is still alive.,Refuted,"[[[231989,235289,""Simo\u0301n_Boli\u0301var"",0]]]",,197364,Simón Bolívar is still alive.,Refuted,,,,,,
159315,Weill Cornell Medicine has no affiliation with medicine whatsoever.,Refuted,"[[[296447,288287,""Weill_Cornell_Medicine"",0]],[[296447,288288,""Weill_Cornell_Medicine"",4]],[[300190,291452,""Weill_Cornell_Medicine"",0],[300190,291452,""Medical_school"",0]],[[343104,326929,""Weill_Cornell_Medicine"",0]],[[343109,326935,""Weill_Cornell_Medicine"",0],[343109,326935,""Medical_school"",0]],[[343224,327049,""Weill_Cornell_Medicine"",0]],[[343224,327050,""Weill_Cornell_Medicine"",4]]]",,159315,Weill Cornell Medicine has no affiliation with medicine whatsoever.,Refuted,,,,,,
50948,Sausage Party is a horror film.,Refuted,"[[[67280,78097,""Sausage_Party"",0]]]",,50948,Sausage Party is a horror film.,Refuted,,,,,,
135311,Robert Lorenz directed Trouble with the Curve.,Supported,"[[[157897,172495,""Trouble_with_the_Curve"",0]]]",,135311,Robert Lorenz directed Trouble with the Curve.,Supported,,,,,,
204415,Brad Wilk was a member of Greta in 1990.,Supported,"[[[241363,242915,""Brad_Wilk"",4]]]",,204415,Brad Wilk was a member of Greta in 1990.,Supported,,,,,,
127981,Zoe Saldana was born on June 19.,Supported,"[[[149956,164882,""Zoe_Saldana"",0]]]",,127981,Zoe Saldana was born on June 19.,Supported,,,,,,
2938,Legendary Entertainment is an independent company.,Refuted,"[[[20280,24821,""Legendary_Entertainment"",2]]]",,2938,Legendary Entertainment is an independent company.,Refuted,,,,,,
214787,The Tracey Fragments had its North American premiere at a film festival.,Supported,"[[[255039,254590,""The_Tracey_Fragments_-LRB-film-RRB-"",6]]]",,214787,The Tracey Fragments had its North American premiere at a film festival.,Supported,,,,,,
4246,Meteora is a country album.,Refuted,"[[[20510,25142,""Meteora_-LRB-album-RRB-"",0]],[[20510,25143,""Meteora_-LRB-album-RRB-"",13]]]",,4246,Meteora is a country album.,Refuted,,,,,,
78289,Temple of the Dog is the name of a band.,Supported,"[[[95255,108257,""Temple_of_the_Dog"",0]],[[95255,108258,""Temple_of_the_Dog"",6],[95255,108258,""Temple_of_the_Dog_-LRB-album-RRB-"",0]],[[95255,108259,""Temple_of_the_Dog"",1],[95255,108259,""Chris_Cornell"",2]],[[95255,108260,""Temple_of_the_Dog"",2],[95255,108260,""Mike_McCready"",2]]]",,78289,Temple of the Dog is the name of a band.,Supported,,,,,,
75728,X-Men: Apocalypse is a sequel directed by Bryan Singer.,Supported,"[[[92540,105302,""X-Men-COLON-_Apocalypse"",2],[92540,105302,""X-Men-COLON-_Apocalypse"",1]]]",,75728,X-Men: Apocalypse is a sequel directed by Bryan Singer.,Supported,,,,,,
166658,Anne Rice was born in the southern United States.,Supported,"[[[191712,202522,""Anne_Rice"",5],[191712,202522,""Louisiana"",0],[191712,202522,""Louisiana"",13]]]",,166658,Anne Rice was born in the southern United States.,Supported,,,,,,
9849,Michigan is not a U.S. state.,Refuted,"[[[24705,30504,""Michigan"",0]],[[24705,30505,""Michigan"",2]],[[24705,30506,""Michigan"",8],[24705,30506,""U.S._state"",0]]]",,9849,Michigan is not a U.S. state.,Refuted,,,,,,
34461,"Jewell is best known for her song ""Love or Lust,"" featured in Bill Duke's film, Deep Cover.",Supported,"[[[50645,60216,""Jewell_-LRB-singer-RRB-"",3]]]",,34461,"Jewell is best known for her song ""Love or Lust,"" featured in Bill Duke's film, Deep Cover.",Supported,,,,,,
1709,The IPhone 4 was marketed by Apple Inc..,Supported,"[[[17451,21604,""IPhone_4"",0]]]",,1709,The IPhone 4 was marketed by Apple Inc..,Supported,,,,,,
68784,There is an island called Java.,Supported,"[[[85417,97748,""Java"",0]],[[85417,97749,""Java"",1]],[[85417,97750,""Java"",2],[85417,97750,""Jakarta"",2]],[[85417,97751,""Java"",9]],[[85417,97752,""Java"",10]],[[85417,97753,""Java"",11]],[[85417,97754,""Java"",12],[85417,97754,""Javanese_language"",0]],[[85417,97755,""Java"",17],[85417,97755,""Banten"",0]]]",,68784,There is an island called Java.,Supported,,,,,,
199676,Andrea Pirlo plays for only one team.,Refuted,"[[[234829,237639,""Andrea_Pirlo"",0]]]",,199676,Andrea Pirlo plays for only one team.,Refuted,,,,,,
199265,Prince Charles and Lady Diana eloped in July 1981.,Refuted,"[[[234315,237221,""Wedding_of_Charles,_Prince_of_Wales,_and_Lady_Diana_Spencer"",0]]]",,199265,Prince Charles and Lady Diana eloped in July 1981.,Refuted,,,,,,
108734,Manchester by the Sea is a film that was premiered at the Sundance Film Festival.,Supported,"[[[127572,142157,""Manchester_by_the_Sea_-LRB-film-RRB-"",4]]]",,108734,Manchester by the Sea is a film that was premiered at the Sundance Film Festival.,Supported,,,,,,
188136,Stephen Moyer worked with Ron Perlman.,Supported,"[[[219549,225531,""Stephen_Moyer"",3]]]",,188136,Stephen Moyer worked with Ron Perlman.,Supported,,,,,,
116668,A Milli is a song by Lil Wayne.,Supported,"[[[282610,276775,""A_Milli"",0]],[[284560,278357,""A_Milli"",0]],[[285397,279031,""A_Milli"",0]],[[285398,279032,""A_Milli"",0]],[[330778,317342,""A_Milli"",0]],[[330782,317343,""A_Milli"",0]]]",,116668,A Milli is a song by Lil Wayne.,Supported,,,,,,
45638,Annelise van der Pol declined to ever do musical theater.,Refuted,"[[[61975,72466,""Anneliese_van_der_Pol"",1]],[[61994,72495,""Anneliese_van_der_Pol"",1]]]",,45638,Annelise van der Pol declined to ever do musical theater.,Refuted,,,,,,
87414,John Goodman is a singer.,Refuted,"[[[104596,118000,""John_Goodman"",0]]]",,87414,John Goodman is a singer.,Refuted,,,,,,
144222,2 Hearts is a song by a human.,Supported,"[[[167407,181242,""2_Hearts_-LRB-Kylie_Minogue_song-RRB-"",0]],[[167408,181243,""2_Hearts_-LRB-Kylie_Minogue_song-RRB-"",0]]]",,144222,2 Hearts is a song by a human.,Supported,,,,,,
115183,The United States dollar is not exclusively used in the United States.,Refuted,"[[[135235,150153,""United_States_dollar"",70]],[[135235,150154,""United_States_dollar"",71]],[[135235,150155,""United_States_dollar"",72]]]",,115183,The United States dollar is not exclusively used in the United States.,Refuted,,,,,,
146015,Anushka Sharma won an award.,Supported,"[[[169400,183046,""Anushka_Sharma"",2]],[[169400,183047,""Anushka_Sharma"",6]],[[169400,183048,""Anushka_Sharma"",7]],[[169400,183049,""Anushka_Sharma"",9]]]",,146015,Anushka Sharma won an award.,Supported,,,,,,
175658,"Fabian Nicieza died December 31, 1961.",Refuted,"[[[203224,212299,""Fabian_Nicieza"",0]],[[203231,212302,""Fabian_Nicieza"",0]]]",,175658,"Fabian Nicieza died December 31, 1961.",Refuted,,,,,,
106392,Michael Hutchence died in a hotel room in Sydney.,Supported,"[[[124889,139228,""Michael_Hutchence"",15]]]",,106392,Michael Hutchence died in a hotel room in Sydney.,Supported,,,,,,
41980,Aphrodite is married to the Greek god of blacksmiths.,Supported,"[[[58286,68538,""Aphrodite"",13],[58286,68538,""Hephaestus"",0]]]",,41980,Aphrodite is married to the Greek god of blacksmiths.,Supported,,,,,,
29534,Temple Mount has nothing to do with an Abrahamic religion.,Refuted,"[[[45802,54690,""Temple_Mount"",11],[45802,54690,""Judaism"",23],[45802,54690,""Judaism"",0]],[[45802,54691,""Temple_Mount"",1],[45802,54691,""Judaism"",23],[45802,54691,""Judaism"",0],[45802,54691,""Islam"",10],[45802,54691,""Islam"",2],[45802,54691,""Christianity"",1],[45802,54691,""Christianity"",14]],[[45802,54692,""Temple_Mount"",0],[45802,54692,""Jerusalem"",3]],[[45802,54693,""Temple_Mount"",2],[45802,54693,""Umayyad_Caliphate"",12]],[[45802,54694,""Temple_Mount"",7],[45802,54694,""Judaism"",23],[45802,54694,""Judaism"",0]],[[45802,54695,""Temple_Mount"",8],[45802,54695,""Adam"",1]],[[45802,54696,""Temple_Mount"",17],[45802,54696,""Jerusalem"",3]],[[45802,54697,""Temple_Mount"",29],[45802,54697,""Judaism"",23],[45802,54697,""Judaism"",0]],[[45802,54698,""Temple_Mount"",36],[45802,54698,""Jerusalem"",3]],[[45802,54699,""Temple_Mount"",37],[45802,54699,""Judaism"",23],[45802,54699,""Judaism"",0],[45802,54699,""Christianity"",1],[45802,54699,""Christianity"",14],[45802,54699,""Supersessionism"",6]],[[45802,54700,""Temple_Mount"",39],[45802,54700,""Jerusalem"",3]],[[45802,54701,""Temple_Mount"",42],[45802,54701,""Jerusalem"",3]],[[45802,54702,""Temple_Mount"",43],[45802,54702,""Islam"",10],[45802,54702,""Islam"",2]],[[45802,54703,""Temple_Mount"",44],[45802,54703,""Jerusalem"",3],[45802,54703,""Islam"",8],[45802,54703,""Islam"",10],[45802,54703,""Islam"",2]],[[45802,54704,""Temple_Mount"",45],[45802,54704,""Jerusalem"",3]],[[45802,54705,""Temple_Mount"",52],[45802,54705,""Judaism"",23],[45802,54705,""Judaism"",0],[45802,54705,""Islam"",10]],[[45802,54706,""Temple_Mount"",53],[45802,54706,""Jerusalem"",3]]]",,29534,Temple Mount has nothing to do with an Abrahamic religion.,Refuted,,,,,,
215504,Weekly Idol is hosted by a rapper.,Supported,"[[[256005,255308,""Weekly_Idol"",1]]]",,215504,Weekly Idol is hosted by a rapper.,Supported,,,,,,
130220,Same Old Love is by Demi Lovato.,Refuted,"[[[152471,167291,""Same_Old_Love"",0]]]",,130220,Same Old Love is by Demi Lovato.,Refuted,,,,,,
177529,Brick Mansions starred Belle.,Supported,"[[[205756,214240,""Brick_Mansions"",0]]]",,177529,Brick Mansions starred Belle.,Supported,,,,,,
72132,Qin dynasty ended around 300 BC.,Refuted,"[[[229063,233132,""Qin_dynasty"",0]],[[318453,307378,""Qin_dynasty"",0]],[[318455,307380,""Qin_dynasty"",0]],[[318459,307383,""Qin_dynasty"",0]]]",,72132,Qin dynasty ended around 300 BC.,Refuted,,,,,,
80303,Sandra Bullock was part of the George Lopez crew.,Supported,"[[[254912,254464,""Sandra_Bullock"",17]],[[258631,257410,""Sandra_Bullock"",17]],[[321166,309658,""Sandra_Bullock"",17]]]",,80303,Sandra Bullock was part of the George Lopez crew.,Supported,,,,,,
179302,Franchising is regulated in the United States.,Supported,"[[[208020,216176,""Franchising"",8]]]",,179302,Franchising is regulated in the United States.,Supported,,,,,,
85895,Garden State was shown at an American film fair.,Supported,"[[[103044,116359,""Garden_State_-LRB-film-RRB-"",6],[103044,116359,""Sundance_Film_Festival"",0]]]",,85895,Garden State was shown at an American film fair.,Supported,,,,,,
120442,Daggering is a form of music.,Refuted,"[[[141461,156659,""Daggering"",0]]]",,120442,Daggering is a form of music.,Refuted,,,,,,
193419,The Eighth Doctor has only ever aired on FX.,Refuted,"[[[226473,231034,""Eighth_Doctor"",0],[226473,231034,""BBC"",1]]]",,193419,The Eighth Doctor has only ever aired on FX.,Refuted,,,,,,
124264,Tye Sheridan is a dancer.,Refuted,"[[[145792,160808,""Tye_Sheridan"",0]]]",,124264,Tye Sheridan is a dancer.,Refuted,,,,,,
20605,Bad Romance was one of the worst-selling singles of all time.,Refuted,"[[[36402,43993,""Bad_Romance"",12]]]",,20605,Bad Romance was one of the worst-selling singles of all time.,Refuted,,,,,,
70310,The Maze Runner is a motion picture.,Supported,"[[[86975,99452,""The_Maze_Runner_-LRB-film-RRB-"",0]]]",,70310,The Maze Runner is a motion picture.,Supported,,,,,,
196750,Marnie is a film.,Supported,"[[[231190,234717,""Marnie_-LRB-film-RRB-"",0]]]",,196750,Marnie is a film.,Supported,,,,,,
147158,"NXT Tag Team Championship was created by World Wrestling Entertainment, Inc.",Supported,"[[[292377,285167,""NXT_Tag_Team_Championship"",0],[292377,285167,""WWE"",0]],[[294434,286739,""NXT_Tag_Team_Championship"",0]],[[294995,287216,""NXT_Tag_Team_Championship"",0]],[[339924,324740,""NXT_Tag_Team_Championship"",0],[339924,324740,""WWE"",0]],[[340014,324809,""NXT_Tag_Team_Championship"",0],[340014,324809,""WWE"",0]]]",,147158,"NXT Tag Team Championship was created by World Wrestling Entertainment, Inc.",Supported,,,,,,
136427,Malta lies far to the south of the historical Melita.,Refuted,"[[[293336,285907,""Malta"",17]],[[337399,322771,""Malta"",17]]]",,136427,Malta lies far to the south of the historical Melita.,Refuted,,,,,,
80429,Saw II came out in a digital optical disc storage format.,Supported,"[[[97419,110576,""Saw_II"",20],[97419,110576,""DVD"",0]],[[97419,110577,""Saw_II"",21],[97419,110577,""DVD"",0]]]",,80429,Saw II came out in a digital optical disc storage format.,Supported,,,,,,
17054,A near-Earth object is not a large orbiting body.,Refuted,"[[[32488,39485,""Near-Earth_object"",0]]]",,17054,A near-Earth object is not a large orbiting body.,Refuted,,,,,,
28593,The Wonder Years received a Peabody Award.,Supported,"[[[44720,53404,""The_Wonder_Years"",9]]]",,28593,The Wonder Years received a Peabody Award.,Supported,,,,,,
200262,Quentin Tarantino's original screenplay was the basis for the film Natural Born Killers.,Supported,"[[[235571,238191,""Natural_Born_Killers"",5]]]",,200262,Quentin Tarantino's original screenplay was the basis for the film Natural Born Killers.,Supported,,,,,,
187571,Dan Brown published a 2003 bestselling novel.,Refuted,"[[[218861,225045,""Dan_Brown"",0]]]",,187571,Dan Brown published a 2003 bestselling novel.,Refuted,,,,,,
149286,T2 Trainspotting is set in and around Aberdeen.,Refuted,"[[[173095,186335,""T2_Trainspotting"",0]]]",,149286,T2 Trainspotting is set in and around Aberdeen.,Refuted,,,,,,
116113,Lou Gehrig was voted a great first baseman.,Supported,"[[[282536,276724,""Lou_Gehrig"",15]],[[284496,278315,""Lou_Gehrig"",15]],[[330690,317293,""Lou_Gehrig"",15]],[[331811,318269,""Lou_Gehrig"",15]]]",,116113,Lou Gehrig was voted a great first baseman.,Supported,,,,,,
194922,Stripes had a person appear in it.,Supported,"[[[228483,232659,""Stripes_-LRB-film-RRB-"",1]],[[228489,232668,""Stripes_-LRB-film-RRB-"",0],[228489,232668,""Bill_Murray"",0]],[[228489,232669,""Stripes_-LRB-film-RRB-"",1],[228489,232669,""Conrad_Dunn"",0]],[[228489,232670,""Stripes_-LRB-film-RRB-"",2],[228489,232670,""Bill_Paxton"",0]],[[228578,232746,""Stripes_-LRB-film-RRB-"",0],[228578,232746,""Bill_Murray"",0],[228578,232746,""Bill_Murray"",1],[228578,232746,""Bill_Murray"",3],[228578,232746,""Bill_Murray"",6],[228578,232746,""Bill_Murray"",7],[228578,232746,""Bill_Murray"",10],[228578,232746,""Harold_Ramis"",0],[228578,232746,""Harold_Ramis"",1],[228578,232746,""Harold_Ramis"",2],[228578,232746,""Harold_Ramis"",3],[228578,232746,""Harold_Ramis"",4],[228578,232746,""Harold_Ramis"",9],[228578,232746,""Ivan_Reitman"",0],[228578,232746,""Ivan_Reitman"",1],[228578,232746,""John_Candy"",0],[228578,232746,""John_Candy"",1],[228578,232746,""John_Candy"",2],[228578,232746,""John_Candy"",6],[228578,232746,""P._J._Soles"",0],[228578,232746,""P._J._Soles"",2],[228578,232746,""Sean_Young"",0],[228578,232746,""Warren_Oates"",0],[228578,232746,""Warren_Oates"",1],[228578,232746,""Warren_Oates"",2]],[[228578,232747,""Stripes_-LRB-film-RRB-"",1],[228578,232747,""Conrad_Dunn"",0],[228578,232747,""Conrad_Dunn"",1],[228578,232747,""Conrad_Dunn"",2],[228578,232747,""Conrad_Dunn"",3],[228578,232747,""Conrad_Dunn"",4],[228578,232747,""Conrad_Dunn"",5],[228578,232747,""John_Diehl"",0],[228578,232747,""John_Diehl"",1],[228578,232747,""John_Diehl"",4],[228578,232747,""John_Diehl"",5],[228578,232747,""John_Larroquette"",0],[228578,232747,""John_Larroquette"",1],[228578,232747,""John_Larroquette"",2],[228578,232747,""Judge_Reinhold"",0]],[[228578,232748,""Stripes_-LRB-film-RRB-"",2],[228578,232748,""Bill_Paxton"",0],[228578,232748,""Bill_Paxton"",2],[228578,232748,""Bill_Paxton"",3],[228578,232748,""Dave_Thomas_-LRB-actor-RRB-"",0],[228578,232748,""Dave_Thomas_-LRB-actor-RRB-"",1],[228578,232748,""Joe_Flaherty"",0],[228578,232748,""Joe_Flaherty"",1],[228578,232748,""Timothy_Busfield"",0],[228578,232748,""Timothy_Busfield"",1],[228578,232748,""Timothy_Busfield"",2],[228578,232748,""Timothy_Busfield"",3]]]",,194922,Stripes had a person appear in it.,Supported,,,,,,
127540,Guillermo del Toro was born.,Supported,"[[[149457,164422,""Guillermo_del_Toro"",0]]]",,127540,Guillermo del Toro was born.,Supported,,,,,,
136290,Java is an landform.,Supported,"[[[158946,173590,""Java"",0],[158946,173590,""Island"",0]]]",,136290,Java is an landform.,Supported,,,,,,
30638,Mandy Moore is an American citizen.,Supported,"[[[46800,55821,""Mandy_Moore"",0]]]",,30638,Mandy Moore is an American citizen.,Supported,,,,,,
53676,Birthday Song (2 Chainz song) was produced by a producer.,Supported,"[[[69963,80842,""Birthday_Song_-LRB-2_Chainz_song-RRB-"",1],[69963,80842,""Sonny_Digital"",0]]]",,53676,Birthday Song (2 Chainz song) was produced by a producer.,Supported,,,,,,
205088,The Little Prince (2015 film) is incapable of being a film.,Refuted,"[[[242311,243712,""The_Little_Prince_-LRB-2015_film-RRB-"",0]]]",,205088,The Little Prince (2015 film) is incapable of being a film.,Refuted,,,,,,
50529,Veep has won the Television Critics Association Award for Outstanding Achievement in Comedy.,Supported,"[[[66875,77696,""Veep"",8]]]",,50529,Veep has won the Television Critics Association Award for Outstanding Achievement in Comedy.,Supported,,,,,,
221087,A&E is a German channel.,Refuted,"[[[263236,260965,""A&E_-LRB-TV_channel-RRB-"",0]]]",,221087,A&E is a German channel.,Refuted,,,,,,
117000,Michigan is the eighth most populous of the 50 United States.,Refuted,"[[[282666,276808,""Michigan"",2]],[[284597,278377,""Michigan"",2]],[[285419,279041,""Michigan"",2]],[[285420,279042,""Michigan"",2]],[[330829,317366,""Michigan"",2]],[[330833,317370,""Michigan"",2]]]",,117000,Michigan is the eighth most populous of the 50 United States.,Refuted,,,,,,
194221,Mike Friedrich is American.,Supported,"[[[227458,231835,""Mike_Friedrich"",0]]]",,194221,Mike Friedrich is American.,Supported,,,,,,
97589,The Adventures of Pluto Nash was released in Africa.,Refuted,"[[[115209,129013,""The_Adventures_of_Pluto_Nash"",2]]]",,97589,The Adventures of Pluto Nash was released in Africa.,Refuted,,,,,,
126561,Johnny Van Zant became the lead vocalist for Lynyrd Skynyrd in 1997.,Refuted,"[[[148406,163421,""Johnny_Van_Zant"",10]]]",,126561,Johnny Van Zant became the lead vocalist for Lynyrd Skynyrd in 1997.,Refuted,,,,,,
219130,Valencia is a city.,Supported,"[[[260713,259036,""Valencia"",0]]]",,219130,Valencia is a city.,Supported,,,,,,
53796,A version of Despacito features Victor Manuelle.,Supported,"[[[70097,80982,""Despacito"",12]]]",,53796,A version of Despacito features Victor Manuelle.,Supported,,,,,,
163977,Veeram is an Indian Tamil film.,Supported,"[[[188630,200082,""Veeram_-LRB-2014_film-RRB-"",0]]]",,163977,Veeram is an Indian Tamil film.,Supported,,,,,,
205102,Gaius Julius Caesar was only born in 430 BC.,Refuted,"[[[242330,243738,""Gaius_Julius_Caesar_-LRB-proconsul-RRB-"",0]]]",,205102,Gaius Julius Caesar was only born in 430 BC.,Refuted,,,,,,
225804,Chinatown was directed Quentin Tarantino exclusively.,Refuted,"[[[269164,265555,""Chinatown_-LRB-1974_film-RRB-"",0]],[[269166,265556,""Chinatown_-LRB-1974_film-RRB-"",0]]]",,225804,Chinatown was directed Quentin Tarantino exclusively.,Refuted,,,,,,
173505,Sancho Panza is a character in a novel written by an author.,Supported,"[[[200465,209970,""Sancho_Panza"",0]]]",,173505,Sancho Panza is a character in a novel written by an author.,Supported,,,,,,
182267,Saturn Corporation is a registered voter.,Refuted,"[[[211976,219584,""Saturn_Corporation"",0]]]",,182267,Saturn Corporation is a registered voter.,Refuted,,,,,,
88473,Edward G. Robinson is a star in The Cincinnati Kid.,Supported,"[[[274542,269829,""The_Cincinnati_Kid"",6]],[[274547,269832,""The_Cincinnati_Kid"",6]],[[276802,271856,""The_Cincinnati_Kid"",6]],[[322731,311004,""The_Cincinnati_Kid"",6],[322731,311004,""The_Cincinnati_Kid"",0]],[[323682,311918,""The_Cincinnati_Kid"",6]]]",,88473,Edward G. Robinson is a star in The Cincinnati Kid.,Supported,,,,,,
