claim_id,claim_text,true_label,model,condition,model_output,gold_evidence,error_type,notes
187571,Dan Brown published a 2003 bestselling novel.,Refuted,gpt-5.4,claim_plus_evidence,Supported,"Daniel Gerhard `` Dan '' Brown -LRB- born June 22 , 1964 -RRB- is an American author of thriller fiction who wrote the 2003 bestselling novel The Da Vinci Code .",refuted_to_supported,
187571,Dan Brown published a 2003 bestselling novel.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"Daniel Gerhard `` Dan '' Brown -LRB- born June 22 , 1964 -RRB- is an American author of thriller fiction who wrote the 2003 bestselling novel The Da Vinci Code .",refuted_to_supported,
194922,Stripes had a person appear in it.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,"Several actors including John Larroquette , John Diehl , Conrad Dunn and Judge Reinhold were featured in their first significant film roles .",supported_to_refuted,
136290,Java is an landform.,Supported,gpt-5.4,claim_plus_evidence,Refuted,Java -LRB- Indonesian : Jawa ; Javanese : ꦗꦮ ; Sundanese : -RRB- is an island of Indonesia .,supported_to_refuted,
136290,Java is an landform.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,Java -LRB- Indonesian : Jawa ; Javanese : ꦗꦮ ; Sundanese : -RRB- is an island of Indonesia .,supported_to_refuted,
160304,French Indochina was unofficially known as the Indochinese Union then the Indochinese Federation.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"French Indochina -LRB- previously spelled as French Indo-China -RRB- -LRB- Indochine française សហភ ពឥណ ឌ ច ន Đông Dương thuộc Pháp , -LSB- ɗə̄wŋm jɨ̄əŋ tʰûək fǎp -RSB- , frequently abbreviated to Đông Pháp ; ຝຣັ່ງແຫຼັມອິນດູຈີນ Cantonese : -RRB- , officially known as the Indochinese Union -LRB- Union indochinoise -RRB- after 1887 and the Indochinese Federation -LRB- Fédération indochinoise -RRB- after 1947 , was a grouping of French colonial territories in Southeast Asia .",refuted_to_supported,
90080,Terry Crews played on the Los Angeles Rams in 1996.,Refuted,gpt-5.4,claim_plus_evidence,Supported,"In football , Crews played as a defensive end and linebacker in the National Football League -LRB- NFL -RRB- for the Los Angeles Rams , San Diego Chargers and Washington Redskins , as well as in the World League of American Football with Rhein Fire .",refuted_to_supported,
90080,Terry Crews played on the Los Angeles Rams in 1996.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"In football , Crews played as a defensive end and linebacker in the National Football League -LRB- NFL -RRB- for the Los Angeles Rams , San Diego Chargers and Washington Redskins , as well as in the World League of American Football with Rhein Fire .",refuted_to_supported,
193844,"Ed Gagliardi died on April 11, 2014.",Supported,gpt-5.4,claim_plus_evidence,Refuted,"Gagliardi died of cancer on May 11 , 2014 , after battling cancer for eight years .",supported_to_refuted,
193844,"Ed Gagliardi died on April 11, 2014.",Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,"Gagliardi died of cancer on May 11 , 2014 , after battling cancer for eight years .",supported_to_refuted,
129221,Colin Kaepernick starts for the San Francisco 49ers.,Supported,gpt-5.4,claim_plus_evidence,Refuted,Kaepernick was selected by the San Francisco 49ers in the second round of the 2011 NFL Draft .,supported_to_refuted,
129221,Colin Kaepernick starts for the San Francisco 49ers.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,Kaepernick was selected by the San Francisco 49ers in the second round of the 2011 NFL Draft .,supported_to_refuted,
127402,Mandy Moore is a writer.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,"Amanda Leigh Moore -LRB- born April 10 , 1984 -RRB- is an American singer-songwriter and actress .",supported_to_refuted,
142286,Shadowhunters did not begin its second season in January 2017.,Supported,gpt-5.4,claim_plus_evidence,Refuted,"In March 2016 , it was announced that the series had been renewed for a second season of 20 episodes , which premiered on January 2 , 2017 .",supported_to_refuted,
142286,Shadowhunters did not begin its second season in January 2017.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,"In March 2016 , it was announced that the series had been renewed for a second season of 20 episodes , which premiered on January 2 , 2017 .",supported_to_refuted,
143144,Henri Kontinen won the Australian Open men's doubles championship in 2011.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,He is currently ranked as world number 1 in doubles rankings after winning the Australian Open men 's doubles championship .,supported_to_refuted,
134682,The Lincoln-Douglas debates happened in a town.,Refuted,gpt-5.4,claim_plus_evidence,Supported,The debates were held in seven towns in the state of Illinois :,refuted_to_supported,
134682,The Lincoln-Douglas debates happened in a town.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,The debates were held in seven towns in the state of Illinois :,refuted_to_supported,
117409,Starrcade was eventually broadcast via pay-per-view umbrella.,Refuted,gpt-5.4,claim_plus_evidence,Supported,"Starrcade was an annual professional wrestling event , originally broadcast via closed-circuit television and eventually broadcast via pay-per-view television , held from 1983 to 2000 by the National Wrestling Alliance -LRB- NWA -RRB- and later World Championship Wrestling -LRB- WCW -RRB- .",refuted_to_supported,
117409,Starrcade was eventually broadcast via pay-per-view umbrella.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"Starrcade was an annual professional wrestling event , originally broadcast via closed-circuit television and eventually broadcast via pay-per-view television , held from 1983 to 2000 by the National Wrestling Alliance -LRB- NWA -RRB- and later World Championship Wrestling -LRB- WCW -RRB- .",refuted_to_supported,
73412,Marco Polo was an Asia.,Supported,gpt-5.4,claim_plus_evidence,Refuted,"The three of them embarked on an epic journey to Asia , returning after 24 years to find Venice at war with Genoa ; Marco was imprisoned and dictated his stories to a cellmate .",supported_to_refuted,
73412,Marco Polo was an Asia.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,"The three of them embarked on an epic journey to Asia , returning after 24 years to find Venice at war with Genoa ; Marco was imprisoned and dictated his stories to a cellmate .",supported_to_refuted,
209103,Sennacherib's youngest daughter was Esarhaddon.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"He was assassinated in obscure circumstances in 681 BCE , apparently by his eldest son -LRB- his designated successor , Esarhaddon , was the youngest -RRB- .",refuted_to_supported,
134387,2016 Tour de France was not won by Chris Froome.,Supported,gpt-5.4,claim_plus_evidence,Refuted,"A total of 198 riders from 22 teams entered the 21-stage race , which was won by Chris Froome of .",supported_to_refuted,
134387,2016 Tour de France was not won by Chris Froome.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,"A total of 198 riders from 22 teams entered the 21-stage race , which was won by Chris Froome of .",supported_to_refuted,
142462,"During the Battle of France, English forces occupied Paris.",Supported,gpt-5.4,claim_plus_evidence,Refuted,German forces occupied Paris unopposed on 14 June after a chaotic period of flight of the French government that led to a collapse of the French army .,supported_to_refuted,
142462,"During the Battle of France, English forces occupied Paris.",Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,German forces occupied Paris unopposed on 14 June after a chaotic period of flight of the French government that led to a collapse of the French army .,supported_to_refuted,
67818,"On January 5, 1998, Sonny Bono perished.",Refuted,gpt-5.4,claim_plus_evidence,Supported,"Salvatore Phillip `` Sonny '' Bono -LRB- -LSB- ˈboʊnoʊ -RSB- February 16 , 1935 -- January 5 , 1998 -RRB- was an American singer , producer , and politician who came to fame in partnership with his second wife Cher , as the popular singing duo Sonny & Cher .",refuted_to_supported,
67818,"On January 5, 1998, Sonny Bono perished.",Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"Salvatore Phillip `` Sonny '' Bono -LRB- -LSB- ˈboʊnoʊ -RSB- February 16 , 1935 -- January 5 , 1998 -RRB- was an American singer , producer , and politician who came to fame in partnership with his second wife Cher , as the popular singing duo Sonny & Cher .",refuted_to_supported,
129066,Dev Patel has not worked with Neill Blomkamp.,Supported,gpt-5.4,claim_plus_evidence,Refuted,"Patel went on to star in the highly successful romantic comedy The Best Exotic Marigold Hotel -LRB- 2012 -RRB- and its 2015 sequel , the fantasy film The Last Airbender -LRB- 2010 -RRB- , and the science fiction film Chappie -LRB- 2015 -RRB- .",supported_to_refuted,
129066,Dev Patel has not worked with Neill Blomkamp.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,"Patel went on to star in the highly successful romantic comedy The Best Exotic Marigold Hotel -LRB- 2012 -RRB- and its 2015 sequel , the fantasy film The Last Airbender -LRB- 2010 -RRB- , and the science fiction film Chappie -LRB- 2015 -RRB- .",supported_to_refuted,
42943,T2 Trainspotting is directed by a man from the capital city of Scotland.,Refuted,gpt-5.4,claim_plus_evidence,Supported,"The film is directed by Danny Boyle and written by John Hodge , based on characters created by Irvine Welsh in his novel Trainspotting and its follow-up Porno .",refuted_to_supported,
42943,T2 Trainspotting is directed by a man from the capital city of Scotland.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"The film is directed by Danny Boyle and written by John Hodge , based on characters created by Irvine Welsh in his novel Trainspotting and its follow-up Porno .",refuted_to_supported,
152955,I Want to Know What Love Is is a single.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,`` I Want to Know What Love Is '' is a power ballad by the British-American rock band Foreigner .,supported_to_refuted,
168003,Don Bradman had anything but declining years.,Refuted,gpt-5.4,claim_plus_evidence,Supported,"Even after he became reclusive in his declining years his opinion was highly sought , and his status as a national icon was still recognised -- more than 50 years after his retirement as a Test player , in 2001 , Prime Minister John Howard of Australia called him the `` greatest living Australian '' .",refuted_to_supported,
97576,Yin and yang is a Taoist moral concept.,Supported,gpt-5.4,claim_plus_evidence,Refuted,"In Taoist metaphysics , distinctions between good and bad , along with other dichotomous moral judgments , are perceptual , not real ; so , the duality of yin and yang is an indivisible whole .",supported_to_refuted,
97576,Yin and yang is a Taoist moral concept.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,"In Taoist metaphysics , distinctions between good and bad , along with other dichotomous moral judgments , are perceptual , not real ; so , the duality of yin and yang is an indivisible whole .",supported_to_refuted,
18065,Colombiana was produced by Olivier Megaton.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,Colombiana is a 2011 French action film co-written and produced by Luc Besson and directed by Olivier Megaton .,refuted_to_supported,
130248,Aldous Huxley barely published scripts.,Supported,gpt-5.4,claim_plus_evidence,Refuted,"Mid career and later , he published travel writing , film stories , and scripts .",supported_to_refuted,
130248,Aldous Huxley barely published scripts.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,"Mid career and later , he published travel writing , film stories , and scripts .",supported_to_refuted,
142717,A person who was born in August discovered Uranium-235.,Supported,gpt-5.4,claim_plus_evidence,Refuted,It was discovered in 1935 by Arthur Jeffrey Dempster .,supported_to_refuted,
142717,A person who was born in August discovered Uranium-235.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,It was discovered in 1935 by Arthur Jeffrey Dempster .,supported_to_refuted,
56284,Chest sensation is one symptom of pulmonary embolism.,Supported,gpt-5.4,claim_plus_evidence,Refuted,"Symptoms of a PE may include shortness of breath , chest pain particularly upon breathing in , and coughing up blood .",supported_to_refuted,
108880,"Harold Macmillan was born on Monday February 10, 1894.",Refuted,gpt-5.4,claim_plus_evidence,Supported,"Maurice Harold Macmillan , 1st Earl of Stockton , -LRB- 10 February 1894 -- 29 December 1986 -RRB- was a British Conservative politician and statesman who served as the Prime Minister of the United Kingdom from 10 January 1957 to 19 October 1963 .",refuted_to_supported,
108880,"Harold Macmillan was born on Monday February 10, 1894.",Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"Maurice Harold Macmillan , 1st Earl of Stockton , -LRB- 10 February 1894 -- 29 December 1986 -RRB- was a British Conservative politician and statesman who served as the Prime Minister of the United Kingdom from 10 January 1957 to 19 October 1963 .",refuted_to_supported,
14790,"On September 6th, 1997, Diana, Princess of Wales's funeral took place.",Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,Media attention and public mourning were extensive after her death in a car crash in Paris on 31 August 1997 and subsequent televised funeral .,supported_to_refuted,
61641,Francis I of France had the popular nickname Francis of the Large Nose.,Refuted,gpt-5.4,claim_plus_evidence,Supported,"He was also known as François au Grand Nez -LRB- `` Francis of the Large Nose '' -RRB- , the Grand Colas , and the Roi-Chevalier -LRB- the `` Knight-King '' -RRB- for his personal involvement in the wars against his great rival the Holy Roman Emperor and King of Spain Charles V.",refuted_to_supported,
61641,Francis I of France had the popular nickname Francis of the Large Nose.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"He was also known as François au Grand Nez -LRB- `` Francis of the Large Nose '' -RRB- , the Grand Colas , and the Roi-Chevalier -LRB- the `` Knight-King '' -RRB- for his personal involvement in the wars against his great rival the Holy Roman Emperor and King of Spain Charles V.",refuted_to_supported,
111764,Winter's Tale is by an American.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,Winter 's Tale is a 1983 novel by Mark Helprin .,supported_to_refuted,
4091,Zac Efron's full name is Zac David Alexander Efron.,Refuted,gpt-5.4,claim_plus_evidence,Supported,"Zachary David Alexander Efron -LRB- born October 18 , 1987 -RRB- is an American actor and singer .",refuted_to_supported,
4091,Zac Efron's full name is Zac David Alexander Efron.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"Zachary David Alexander Efron -LRB- born October 18 , 1987 -RRB- is an American actor and singer .",refuted_to_supported,
133407,Michigan is a U.S. state and a leading destination for recreational boating.,Supported,gpt-5.4,claim_plus_evidence,Refuted,"As a result , it is one of the leading U.S. states for recreational boating .",supported_to_refuted,
142729,Arjit Singh is male.,Supported,gpt-5.4,claim_plus_evidence,Refuted,He prominently sings in Hindi and Bengali .,supported_to_refuted,
20603,"Yemen does not have an area of 203,850 square miles.",Supported,gpt-5.4,claim_plus_evidence,Refuted,"Yemen is the second-largest country in the peninsula , occupying 527,970 km2 -LRB- 203,850 sq mi -RRB- .",supported_to_refuted,
20603,"Yemen does not have an area of 203,850 square miles.",Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,"Yemen is the second-largest country in the peninsula , occupying 527,970 km2 -LRB- 203,850 sq mi -RRB- .",supported_to_refuted,
178342,Al Jardine sang lead vocals on a song written by a songwriter.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,"He is best known as the band 's rhythm guitarist , and for occasionally singing lead vocals on singles such as `` Help Me , Rhonda '' -LRB- 1965 -RRB- , `` Then I Kissed Her '' -LRB- 1965 -RRB- and `` Come Go with Me '' -LRB- 1978 -RRB- .",supported_to_refuted,
93307,Food Network is offered in a federal democracy based on a constitution.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,"As of February 2015 , Food Network is available to approximately 96,931,000 pay television households -LRB- 83.3 % of households with television -RRB- in the United States .",supported_to_refuted,
25551,The Washington Wizards won a title in 1975.,Supported,gpt-5.4,claim_plus_evidence,Refuted,"They have won four conference titles -LRB- 1971 , 1975 , 1978 , 1979 -RRB- , and seven division titles -LRB- 1971 , 1972 , 1973 , 1974 , 1975 , 1979 , 2017 -RRB- .",supported_to_refuted,
25551,The Washington Wizards won a title in 1975.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,"They have won four conference titles -LRB- 1971 , 1975 , 1978 , 1979 -RRB- , and seven division titles -LRB- 1971 , 1972 , 1973 , 1974 , 1975 , 1979 , 2017 -RRB- .",supported_to_refuted,
60044,"None of the actors in Men in Black II were born on September 15, 1968.",Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"Men in Black II -LRB- stylized as MIIB -RRB- is a 2002 American science fiction action comedy film starring Tommy Lee Jones , Will Smith , Lara Flynn Boyle , Johnny Knoxville , Rosario Dawson , Tony Shalhoub and Rip Torn .",refuted_to_supported,
64142,The Fame sold 4.7 million digital copies as of April 2016.,Supported,gpt-5.4,claim_plus_evidence,Refuted,It has sold 4.7 million copies in the United States as of April 2016 and is the seventh best-selling digital album in history .,supported_to_refuted,
153303,EA Black Box was a picture game developer.,Supported,gpt-5.4,claim_plus_evidence,Refuted,"EA Black Box -LRB- formerly Black Box Games -RRB- was a video game developer based in Burnaby , British Columbia , Canada , founded in 1998 by former employees of Radical Entertainment and later acquired by Electronic Arts -LRB- EA -RRB- .",supported_to_refuted,
153303,EA Black Box was a picture game developer.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,"EA Black Box -LRB- formerly Black Box Games -RRB- was a video game developer based in Burnaby , British Columbia , Canada , founded in 1998 by former employees of Radical Entertainment and later acquired by Electronic Arts -LRB- EA -RRB- .",supported_to_refuted,
68043,Uranium-235 was discovered by a person who was born in August.,Supported,gpt-5.4,claim_plus_evidence,Refuted,It was discovered in 1935 by Arthur Jeffrey Dempster .,supported_to_refuted,
68043,Uranium-235 was discovered by a person who was born in August.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,It was discovered in 1935 by Arthur Jeffrey Dempster .,supported_to_refuted,
226153,Richard Dawkins has been awarded prestigious film awards.,Supported,gpt-5.4,claim_plus_evidence,Refuted,"Dawkins has been awarded many prestigious academic and writing awards and he makes regular television , radio and Internet appearances , predominantly discussing his books , his atheism , and his ideas and opinions as a public intellectual .",supported_to_refuted,
226153,Richard Dawkins has been awarded prestigious film awards.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,"Dawkins has been awarded many prestigious academic and writing awards and he makes regular television , radio and Internet appearances , predominantly discussing his books , his atheism , and his ideas and opinions as a public intellectual .",supported_to_refuted,
69883,Chris Benoit is from North America.,Refuted,gpt-5.4,claim_plus_evidence,Supported,"Christopher Michael Benoit -LRB- -LSB- bəˈnwa -RSB- ; May 21 , 1967 -- June 24 , 2007 -RRB- was a Canadian professional wrestler .",refuted_to_supported,
69883,Chris Benoit is from North America.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"Christopher Michael Benoit -LRB- -LSB- bəˈnwa -RSB- ; May 21 , 1967 -- June 24 , 2007 -RRB- was a Canadian professional wrestler .",refuted_to_supported,
91498,Tiber Oil Field is a landlocked oil field.,Supported,gpt-5.4,claim_plus_evidence,Refuted,The Tiber Oil Field is a deepwater offshore oil field located in the Keathley Canyon block 102 of the United States sector of the Gulf of Mexico .,supported_to_refuted,
91498,Tiber Oil Field is a landlocked oil field.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,The Tiber Oil Field is a deepwater offshore oil field located in the Keathley Canyon block 102 of the United States sector of the Gulf of Mexico .,supported_to_refuted,
1076,James Jones missed the finals once.,Supported,gpt-5.4,claim_plus_evidence,Refuted,Jones has never been on an NBA team with a losing record and has only missed the playoffs once -- with the Trail Blazers in 2007 -- 08 .,supported_to_refuted,
7138,The Tenth Doctor travels alone during the time period 2009-2010.,Refuted,gpt-5.4,claim_plus_evidence,Supported,"He eventually parts ways with them all by the end of the 2008 series finale , `` Journey 's End '' , after which he attempts to travel alone for the duration of the 2008 -- 2010 specials before being accompanied by Donna Noble 's grandfather Wilfred Mott on his final adventure in The End of Time .",refuted_to_supported,
7138,The Tenth Doctor travels alone during the time period 2009-2010.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"He eventually parts ways with them all by the end of the 2008 series finale , `` Journey 's End '' , after which he attempts to travel alone for the duration of the 2008 -- 2010 specials before being accompanied by Donna Noble 's grandfather Wilfred Mott on his final adventure in The End of Time .",refuted_to_supported,
41780,Britt Robertson was in the film series Girlboss.,Supported,gpt-5.4,claim_plus_evidence,Refuted,"That same year , she headlined the Netflix comedy television series Girlboss , portraying self-made millionaire Sophia Amoruso .",supported_to_refuted,
18030,Floyd Mayweather Jr. has made 30 career boxing knockouts in different special event professional boxing fights.,Supported,gpt-5.4,claim_plus_evidence,Refuted,He finished his career with a record of 26 wins without a loss or draw in world title fights -LRB- 10 by KO -RRB- ; 23 wins -LRB- 9 KOs -RRB- in lineal title fights ; 24 wins -LRB- 7 KOs -RRB- against former or current world titlists ; 12 wins -LRB- 3 KOs -RRB- against former or current lineal champions ; and 2 wins -LRB- 1 KO -RRB- against International Boxing Hall of Fame inductees .,supported_to_refuted,
18030,Floyd Mayweather Jr. has made 30 career boxing knockouts in different special event professional boxing fights.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,He finished his career with a record of 26 wins without a loss or draw in world title fights -LRB- 10 by KO -RRB- ; 23 wins -LRB- 9 KOs -RRB- in lineal title fights ; 24 wins -LRB- 7 KOs -RRB- against former or current world titlists ; 12 wins -LRB- 3 KOs -RRB- against former or current lineal champions ; and 2 wins -LRB- 1 KO -RRB- against International Boxing Hall of Fame inductees .,supported_to_refuted,
93546,Advertising is used to sell a way of doing things.,Refuted,gpt-5.4,claim_plus_evidence,Supported,"Advertising is an audio or visual form of marketing communication that employs an openly sponsored , nonpersonal message to promote or sell a product , service or idea .",refuted_to_supported,
93546,Advertising is used to sell a way of doing things.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"Advertising is an audio or visual form of marketing communication that employs an openly sponsored , nonpersonal message to promote or sell a product , service or idea .",refuted_to_supported,
19418,The Bengal tiger is a member of the largest cat species.,Supported,gpt-5.4,claim_plus_evidence,Refuted,The Bengal tiger -LRB- Panthera tigris tigris -RRB- is the most numerous tiger subspecies .,supported_to_refuted,
19418,The Bengal tiger is a member of the largest cat species.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,The Bengal tiger -LRB- Panthera tigris tigris -RRB- is the most numerous tiger subspecies .,supported_to_refuted,
106668,Sean Penn has acted in 13 films.,Supported,gpt-5.4,claim_plus_evidence,Refuted,"Following his film debut in the drama Taps -LRB- 1981 -RRB- and a diverse range of film roles in the 1980s , including Fast Times at Ridgemont High -LRB- 1982 -RRB- , Penn garnered critical attention for his roles in the crime dramas At Close Range -LRB- 1986 -RRB- , State of Grace -LRB- 1990 -RRB- , and Carlito 's Way -LRB- 1993 -RRB- .",supported_to_refuted,
106668,Sean Penn has acted in 13 films.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,"Following his film debut in the drama Taps -LRB- 1981 -RRB- and a diverse range of film roles in the 1980s , including Fast Times at Ridgemont High -LRB- 1982 -RRB- , Penn garnered critical attention for his roles in the crime dramas At Close Range -LRB- 1986 -RRB- , State of Grace -LRB- 1990 -RRB- , and Carlito 's Way -LRB- 1993 -RRB- .",supported_to_refuted,
145491,George III of the United Kingdom had experiences.,Refuted,gpt-5.4,claim_plus_evidence,Supported,"In the later part of his life , George III had recurrent , and eventually permanent , mental illness .",refuted_to_supported,
145491,George III of the United Kingdom had experiences.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"In the later part of his life , George III had recurrent , and eventually permanent , mental illness .",refuted_to_supported,
138708,Physics' main goal is to observe the behavior of the universe.,Refuted,gpt-5.4,claim_plus_evidence,Supported,"One of the most fundamental scientific disciplines , the main goal of physics is to understand how the universe behaves .",refuted_to_supported,
138708,Physics' main goal is to observe the behavior of the universe.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"One of the most fundamental scientific disciplines , the main goal of physics is to understand how the universe behaves .",refuted_to_supported,
82883,Craig David has been nominated for several Grammy Awards.,Refuted,gpt-5.4,claim_plus_evidence,Supported,"David has been nominated for thirteen Brit Awards : four times for Best British Male , and twice received a Grammy Award nomination for Best Male Pop Vocal Performance .",refuted_to_supported,
82883,Craig David has been nominated for several Grammy Awards.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"David has been nominated for thirteen Brit Awards : four times for Best British Male , and twice received a Grammy Award nomination for Best Male Pop Vocal Performance .",refuted_to_supported,
189714,Action films are a subgenre of martial arts films.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,"A subgenre of the action film , martial arts films contain numerous martial arts fights between characters .",refuted_to_supported,
41441,Yvonne Strahovski has worked on movies and TV shows.,Supported,gpt-5.4,claim_plus_evidence,Refuted,"She is best known for her roles as CIA Agent Sarah Walker in the NBC series Chuck -LRB- 2007 -- 2012 -RRB- , Hannah McKay in the Showtime series Dexter -LRB- 2012 -- 2013 -RRB- and CIA Agent Kate Morgan in the Fox limited event television series 24 : Live Another Day -LRB- 2014 -RRB- .",supported_to_refuted,
87187,The Washington Monument is between 560 ft and 575 ft tall.,Supported,gpt-5.4,claim_plus_evidence,Refuted,"Located almost due east of the Reflecting Pool and the Lincoln Memorial , the monument , made of marble , granite , and bluestone gneiss , is both the world 's tallest stone structure and the world 's tallest obelisk , standing 554 ft tall according to the National Geodetic Survey -LRB- measured 2013 -- 14 -RRB- or 555 ft tall according to the National Park Service -LRB- measured 1884 -RRB- .",supported_to_refuted,
87187,The Washington Monument is between 560 ft and 575 ft tall.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,"Located almost due east of the Reflecting Pool and the Lincoln Memorial , the monument , made of marble , granite , and bluestone gneiss , is both the world 's tallest stone structure and the world 's tallest obelisk , standing 554 ft tall according to the National Geodetic Survey -LRB- measured 2013 -- 14 -RRB- or 555 ft tall according to the National Park Service -LRB- measured 1884 -RRB- .",supported_to_refuted,
22002,Shooter is about an expert cowboy.,Refuted,gpt-5.4-mini,claim_plus_evidence,Supported,The show stars Ryan Phillippe in the lead role of Bob Lee Swagger an expert marksman living in exile who is coaxed back into action after learning of a plot to kill the president .,refuted_to_supported,
139661,Colombiana was produced by Luc Besson in 2001.,Supported,gpt-5.4,claim_plus_evidence,Refuted,Colombiana is a 2011 French action film co-written and produced by Luc Besson and directed by Olivier Megaton .,supported_to_refuted,
139661,Colombiana was produced by Luc Besson in 2001.,Supported,gpt-5.4-mini,claim_plus_evidence,Refuted,Colombiana is a 2011 French action film co-written and produced by Luc Besson and directed by Olivier Megaton .,supported_to_refuted,
