claim_id,claim_text,true_label,example_id,claim,gold_label,gold_evidence,raw_evidence,model,condition,model_output,correct,error_type,notes
60162,Stephenie Meyer created Edward Cullen.,Supported,60162,Stephenie Meyer created Edward Cullen.,Supported,Edward Cullen -LRB- né Edward Anthony Masen -RRB- is a fictional character in Stephenie Meyer 's Twilight series .,"[[[76591,87892,""Edward_Cullen"",0]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
115386,Motion is good for heart health.,Supported,115386,Motion is good for heart health.,Supported,"The heart receives blood low in oxygen from the systemic circulation , which enters the right atrium from the superior and inferior venae cavae and passes to the right ventricle .","[[[135439,150322,""Heart"",15]]]",gpt-5.4,claim_only,Supported,Yes,,
115386,Motion is good for heart health.,Supported,115386,Motion is good for heart health.,Supported,"The heart receives blood low in oxygen from the systemic circulation , which enters the right atrium from the superior and inferior venae cavae and passes to the right ventricle .","[[[135439,150322,""Heart"",15]]]",gpt-5.4,claim_plus_evidence,Refuted,No,supported_to_refuted,
115386,Motion is good for heart health.,Supported,115386,Motion is good for heart health.,Supported,"The heart receives blood low in oxygen from the systemic circulation , which enters the right atrium from the superior and inferior venae cavae and passes to the right ventricle .","[[[135439,150322,""Heart"",15]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
115386,Motion is good for heart health.,Supported,115386,Motion is good for heart health.,Supported,"The heart receives blood low in oxygen from the systemic circulation , which enters the right atrium from the superior and inferior venae cavae and passes to the right ventricle .","[[[135439,150322,""Heart"",15]]]",gpt-5.4-mini,claim_plus_evidence,Refuted,No,supported_to_refuted,
21853,Harold Macmillan worked in politics.,Supported,21853,Harold Macmillan worked in politics.,Supported,"Maurice Harold Macmillan , 1st Earl of Stockton , -LRB- 10 February 1894 -- 29 December 1986 -RRB- was a British Conservative politician and statesman who served as the Prime Minister of the United Kingdom from 10 January 1957 to 19 October 1963 .","[[[15227,18969,""Harold_Macmillan"",0]],[[15227,18970,""Harold_Macmillan"",1],[15227,18970,""Supermac_-LRB-cartoon-RRB-"",4]],[[15227,18971,""Harold_Macmillan"",7]],[[15227,18972,""Harold_Macmillan"",8]],[[15227,18973,""Harold_Macmillan"",11]],[[15227,18974,""Harold_Macmillan"",12]],[[15227,18975,""Harold_Macmillan"",15]],[[15227,18976,""Harold_Macmillan"",31]],[[15227,18977,""Harold_Macmillan"",27]],[[15227,18978,""Harold_Macmillan"",26]],[[15227,18979,""Harold_Macmillan"",18],[15227,18979,""United_Kingdom_general_election,_1959"",1]],[[19650,24146,""Harold_Macmillan"",0]],[[19650,24147,""Harold_Macmillan"",7]],[[19650,24148,""Harold_Macmillan"",8]],[[19650,24149,""Harold_Macmillan"",11]],[[19650,24150,""Harold_Macmillan"",12]],[[19650,24151,""Harold_Macmillan"",26]],[[19650,24152,""Harold_Macmillan"",31]],[[24311,30047,""Harold_Macmillan"",0]],[[24311,30048,""Harold_Macmillan"",1],[24311,30048,""Supermac_-LRB-cartoon-RRB-"",4]],[[24311,30049,""Harold_Macmillan"",7]],[[24311,30050,""Harold_Macmillan"",8]],[[24311,30051,""Harold_Macmillan"",11]],[[24311,30052,""Harold_Macmillan"",12]],[[24311,30053,""Harold_Macmillan"",15]],[[24311,30054,""Harold_Macmillan"",21]],[[24311,30055,""Harold_Macmillan"",22]],[[24311,30056,""Harold_Macmillan"",23]],[[24311,30057,""Harold_Macmillan"",27]],[[24311,30058,""Harold_Macmillan"",26]],[[24311,30059,""Harold_Macmillan"",31]],[[299420,290801,""Harold_Macmillan"",0]],[[299420,290802,""Harold_Macmillan"",7]],[[299420,290803,""Harold_Macmillan"",8]],[[299420,290804,""Harold_Macmillan"",11]],[[299420,290805,""Harold_Macmillan"",12]],[[299420,290806,""Harold_Macmillan"",27]],[[299420,290807,""Harold_Macmillan"",31]]]",gpt-5.4,claim_only,Supported,Yes,,
21853,Harold Macmillan worked in politics.,Supported,21853,Harold Macmillan worked in politics.,Supported,"Maurice Harold Macmillan , 1st Earl of Stockton , -LRB- 10 February 1894 -- 29 December 1986 -RRB- was a British Conservative politician and statesman who served as the Prime Minister of the United Kingdom from 10 January 1957 to 19 October 1963 .","[[[15227,18969,""Harold_Macmillan"",0]],[[15227,18970,""Harold_Macmillan"",1],[15227,18970,""Supermac_-LRB-cartoon-RRB-"",4]],[[15227,18971,""Harold_Macmillan"",7]],[[15227,18972,""Harold_Macmillan"",8]],[[15227,18973,""Harold_Macmillan"",11]],[[15227,18974,""Harold_Macmillan"",12]],[[15227,18975,""Harold_Macmillan"",15]],[[15227,18976,""Harold_Macmillan"",31]],[[15227,18977,""Harold_Macmillan"",27]],[[15227,18978,""Harold_Macmillan"",26]],[[15227,18979,""Harold_Macmillan"",18],[15227,18979,""United_Kingdom_general_election,_1959"",1]],[[19650,24146,""Harold_Macmillan"",0]],[[19650,24147,""Harold_Macmillan"",7]],[[19650,24148,""Harold_Macmillan"",8]],[[19650,24149,""Harold_Macmillan"",11]],[[19650,24150,""Harold_Macmillan"",12]],[[19650,24151,""Harold_Macmillan"",26]],[[19650,24152,""Harold_Macmillan"",31]],[[24311,30047,""Harold_Macmillan"",0]],[[24311,30048,""Harold_Macmillan"",1],[24311,30048,""Supermac_-LRB-cartoon-RRB-"",4]],[[24311,30049,""Harold_Macmillan"",7]],[[24311,30050,""Harold_Macmillan"",8]],[[24311,30051,""Harold_Macmillan"",11]],[[24311,30052,""Harold_Macmillan"",12]],[[24311,30053,""Harold_Macmillan"",15]],[[24311,30054,""Harold_Macmillan"",21]],[[24311,30055,""Harold_Macmillan"",22]],[[24311,30056,""Harold_Macmillan"",23]],[[24311,30057,""Harold_Macmillan"",27]],[[24311,30058,""Harold_Macmillan"",26]],[[24311,30059,""Harold_Macmillan"",31]],[[299420,290801,""Harold_Macmillan"",0]],[[299420,290802,""Harold_Macmillan"",7]],[[299420,290803,""Harold_Macmillan"",8]],[[299420,290804,""Harold_Macmillan"",11]],[[299420,290805,""Harold_Macmillan"",12]],[[299420,290806,""Harold_Macmillan"",27]],[[299420,290807,""Harold_Macmillan"",31]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
21853,Harold Macmillan worked in politics.,Supported,21853,Harold Macmillan worked in politics.,Supported,"Maurice Harold Macmillan , 1st Earl of Stockton , -LRB- 10 February 1894 -- 29 December 1986 -RRB- was a British Conservative politician and statesman who served as the Prime Minister of the United Kingdom from 10 January 1957 to 19 October 1963 .","[[[15227,18969,""Harold_Macmillan"",0]],[[15227,18970,""Harold_Macmillan"",1],[15227,18970,""Supermac_-LRB-cartoon-RRB-"",4]],[[15227,18971,""Harold_Macmillan"",7]],[[15227,18972,""Harold_Macmillan"",8]],[[15227,18973,""Harold_Macmillan"",11]],[[15227,18974,""Harold_Macmillan"",12]],[[15227,18975,""Harold_Macmillan"",15]],[[15227,18976,""Harold_Macmillan"",31]],[[15227,18977,""Harold_Macmillan"",27]],[[15227,18978,""Harold_Macmillan"",26]],[[15227,18979,""Harold_Macmillan"",18],[15227,18979,""United_Kingdom_general_election,_1959"",1]],[[19650,24146,""Harold_Macmillan"",0]],[[19650,24147,""Harold_Macmillan"",7]],[[19650,24148,""Harold_Macmillan"",8]],[[19650,24149,""Harold_Macmillan"",11]],[[19650,24150,""Harold_Macmillan"",12]],[[19650,24151,""Harold_Macmillan"",26]],[[19650,24152,""Harold_Macmillan"",31]],[[24311,30047,""Harold_Macmillan"",0]],[[24311,30048,""Harold_Macmillan"",1],[24311,30048,""Supermac_-LRB-cartoon-RRB-"",4]],[[24311,30049,""Harold_Macmillan"",7]],[[24311,30050,""Harold_Macmillan"",8]],[[24311,30051,""Harold_Macmillan"",11]],[[24311,30052,""Harold_Macmillan"",12]],[[24311,30053,""Harold_Macmillan"",15]],[[24311,30054,""Harold_Macmillan"",21]],[[24311,30055,""Harold_Macmillan"",22]],[[24311,30056,""Harold_Macmillan"",23]],[[24311,30057,""Harold_Macmillan"",27]],[[24311,30058,""Harold_Macmillan"",26]],[[24311,30059,""Harold_Macmillan"",31]],[[299420,290801,""Harold_Macmillan"",0]],[[299420,290802,""Harold_Macmillan"",7]],[[299420,290803,""Harold_Macmillan"",8]],[[299420,290804,""Harold_Macmillan"",11]],[[299420,290805,""Harold_Macmillan"",12]],[[299420,290806,""Harold_Macmillan"",27]],[[299420,290807,""Harold_Macmillan"",31]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
21853,Harold Macmillan worked in politics.,Supported,21853,Harold Macmillan worked in politics.,Supported,"Maurice Harold Macmillan , 1st Earl of Stockton , -LRB- 10 February 1894 -- 29 December 1986 -RRB- was a British Conservative politician and statesman who served as the Prime Minister of the United Kingdom from 10 January 1957 to 19 October 1963 .","[[[15227,18969,""Harold_Macmillan"",0]],[[15227,18970,""Harold_Macmillan"",1],[15227,18970,""Supermac_-LRB-cartoon-RRB-"",4]],[[15227,18971,""Harold_Macmillan"",7]],[[15227,18972,""Harold_Macmillan"",8]],[[15227,18973,""Harold_Macmillan"",11]],[[15227,18974,""Harold_Macmillan"",12]],[[15227,18975,""Harold_Macmillan"",15]],[[15227,18976,""Harold_Macmillan"",31]],[[15227,18977,""Harold_Macmillan"",27]],[[15227,18978,""Harold_Macmillan"",26]],[[15227,18979,""Harold_Macmillan"",18],[15227,18979,""United_Kingdom_general_election,_1959"",1]],[[19650,24146,""Harold_Macmillan"",0]],[[19650,24147,""Harold_Macmillan"",7]],[[19650,24148,""Harold_Macmillan"",8]],[[19650,24149,""Harold_Macmillan"",11]],[[19650,24150,""Harold_Macmillan"",12]],[[19650,24151,""Harold_Macmillan"",26]],[[19650,24152,""Harold_Macmillan"",31]],[[24311,30047,""Harold_Macmillan"",0]],[[24311,30048,""Harold_Macmillan"",1],[24311,30048,""Supermac_-LRB-cartoon-RRB-"",4]],[[24311,30049,""Harold_Macmillan"",7]],[[24311,30050,""Harold_Macmillan"",8]],[[24311,30051,""Harold_Macmillan"",11]],[[24311,30052,""Harold_Macmillan"",12]],[[24311,30053,""Harold_Macmillan"",15]],[[24311,30054,""Harold_Macmillan"",21]],[[24311,30055,""Harold_Macmillan"",22]],[[24311,30056,""Harold_Macmillan"",23]],[[24311,30057,""Harold_Macmillan"",27]],[[24311,30058,""Harold_Macmillan"",26]],[[24311,30059,""Harold_Macmillan"",31]],[[299420,290801,""Harold_Macmillan"",0]],[[299420,290802,""Harold_Macmillan"",7]],[[299420,290803,""Harold_Macmillan"",8]],[[299420,290804,""Harold_Macmillan"",11]],[[299420,290805,""Harold_Macmillan"",12]],[[299420,290806,""Harold_Macmillan"",27]],[[299420,290807,""Harold_Macmillan"",31]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
62919,"Trevor Griffiths was only born on April 14, 1935.",Refuted,62919,"Trevor Griffiths was only born on April 14, 1935.",Refuted,"Trevor Griffiths -LRB- born 4 April 1935 , Ancoats , Manchester -RRB- , is an English dramatist .","[[[203249,212317,""Trevor_Griffiths"",0]],[[315451,304682,""Trevor_Griffiths"",0]],[[316598,305755,""Trevor_Griffiths"",0]],[[318435,307363,""Trevor_Griffiths"",0]]]",gpt-5.4,claim_only,Refuted,Yes,,
62919,"Trevor Griffiths was only born on April 14, 1935.",Refuted,62919,"Trevor Griffiths was only born on April 14, 1935.",Refuted,"Trevor Griffiths -LRB- born 4 April 1935 , Ancoats , Manchester -RRB- , is an English dramatist .","[[[203249,212317,""Trevor_Griffiths"",0]],[[315451,304682,""Trevor_Griffiths"",0]],[[316598,305755,""Trevor_Griffiths"",0]],[[318435,307363,""Trevor_Griffiths"",0]]]",gpt-5.4,claim_plus_evidence,Refuted,Yes,,
62919,"Trevor Griffiths was only born on April 14, 1935.",Refuted,62919,"Trevor Griffiths was only born on April 14, 1935.",Refuted,"Trevor Griffiths -LRB- born 4 April 1935 , Ancoats , Manchester -RRB- , is an English dramatist .","[[[203249,212317,""Trevor_Griffiths"",0]],[[315451,304682,""Trevor_Griffiths"",0]],[[316598,305755,""Trevor_Griffiths"",0]],[[318435,307363,""Trevor_Griffiths"",0]]]",gpt-5.4-mini,claim_only,Refuted,Yes,,
62919,"Trevor Griffiths was only born on April 14, 1935.",Refuted,62919,"Trevor Griffiths was only born on April 14, 1935.",Refuted,"Trevor Griffiths -LRB- born 4 April 1935 , Ancoats , Manchester -RRB- , is an English dramatist .","[[[203249,212317,""Trevor_Griffiths"",0]],[[315451,304682,""Trevor_Griffiths"",0]],[[316598,305755,""Trevor_Griffiths"",0]],[[318435,307363,""Trevor_Griffiths"",0]]]",gpt-5.4-mini,claim_plus_evidence,Refuted,Yes,,
189874,Augutus Prew's mother was a clothing designer.,Supported,189874,Augutus Prew's mother was a clothing designer.,Supported,"Prew was born in Westminster , London , England and is the son of Wendy Dagworthy , a fashion designer , and Jonathan W. Prew , a photographer .","[[[221803,227357,""Augustus_Prew"",5]]]",gpt-5.4,claim_only,Supported,Yes,,
189874,Augutus Prew's mother was a clothing designer.,Supported,189874,Augutus Prew's mother was a clothing designer.,Supported,"Prew was born in Westminster , London , England and is the son of Wendy Dagworthy , a fashion designer , and Jonathan W. Prew , a photographer .","[[[221803,227357,""Augustus_Prew"",5]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
189874,Augutus Prew's mother was a clothing designer.,Supported,189874,Augutus Prew's mother was a clothing designer.,Supported,"Prew was born in Westminster , London , England and is the son of Wendy Dagworthy , a fashion designer , and Jonathan W. Prew , a photographer .","[[[221803,227357,""Augustus_Prew"",5]]]",gpt-5.4-mini,claim_only,Refuted,No,supported_to_refuted,
189874,Augutus Prew's mother was a clothing designer.,Supported,189874,Augutus Prew's mother was a clothing designer.,Supported,"Prew was born in Westminster , London , England and is the son of Wendy Dagworthy , a fashion designer , and Jonathan W. Prew , a photographer .","[[[221803,227357,""Augustus_Prew"",5]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
64966,Camp Flog Gnaw is a convention.,Refuted,64966,Camp Flog Gnaw is a convention.,Refuted,"Camp Flog Gnaw is an annual carnival created and hosted by Tyler , The Creator and Odd Future .","[[[81478,93237,""Camp_Flog_Gnaw"",0]]]",gpt-5.4,claim_only,Refuted,Yes,,
64966,Camp Flog Gnaw is a convention.,Refuted,64966,Camp Flog Gnaw is a convention.,Refuted,"Camp Flog Gnaw is an annual carnival created and hosted by Tyler , The Creator and Odd Future .","[[[81478,93237,""Camp_Flog_Gnaw"",0]]]",gpt-5.4,claim_plus_evidence,Refuted,Yes,,
64966,Camp Flog Gnaw is a convention.,Refuted,64966,Camp Flog Gnaw is a convention.,Refuted,"Camp Flog Gnaw is an annual carnival created and hosted by Tyler , The Creator and Odd Future .","[[[81478,93237,""Camp_Flog_Gnaw"",0]]]",gpt-5.4-mini,claim_only,Refuted,Yes,,
64966,Camp Flog Gnaw is a convention.,Refuted,64966,Camp Flog Gnaw is a convention.,Refuted,"Camp Flog Gnaw is an annual carnival created and hosted by Tyler , The Creator and Odd Future .","[[[81478,93237,""Camp_Flog_Gnaw"",0]]]",gpt-5.4-mini,claim_plus_evidence,Refuted,Yes,,
148755,Humphrey Bogart received an award nomination.,Supported,148755,Humphrey Bogart received an award nomination.,Supported,"Over his career , he received three Academy Award nominations for Best Actor , winning one -LRB- for The African Queen -RRB- .","[[[172411,185719,""Humphrey_Bogart"",17]]]",gpt-5.4,claim_only,Supported,Yes,,
148755,Humphrey Bogart received an award nomination.,Supported,148755,Humphrey Bogart received an award nomination.,Supported,"Over his career , he received three Academy Award nominations for Best Actor , winning one -LRB- for The African Queen -RRB- .","[[[172411,185719,""Humphrey_Bogart"",17]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
148755,Humphrey Bogart received an award nomination.,Supported,148755,Humphrey Bogart received an award nomination.,Supported,"Over his career , he received three Academy Award nominations for Best Actor , winning one -LRB- for The African Queen -RRB- .","[[[172411,185719,""Humphrey_Bogart"",17]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
148755,Humphrey Bogart received an award nomination.,Supported,148755,Humphrey Bogart received an award nomination.,Supported,"Over his career , he received three Academy Award nominations for Best Actor , winning one -LRB- for The African Queen -RRB- .","[[[172411,185719,""Humphrey_Bogart"",17]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
121645,Billboard Dad stars Ashley and Mary-Kate Olsen.,Supported,121645,Billboard Dad stars Ashley and Mary-Kate Olsen.,Supported,"Billboard Dad -LRB- film -RRB- is a 1998 American direct-to-video comedy film , directed by Alan Metter starring Mary-Kate and Ashley Olsen .","[[[142840,157977,""Billboard_Dad"",0]]]",gpt-5.4,claim_only,Supported,Yes,,
121645,Billboard Dad stars Ashley and Mary-Kate Olsen.,Supported,121645,Billboard Dad stars Ashley and Mary-Kate Olsen.,Supported,"Billboard Dad -LRB- film -RRB- is a 1998 American direct-to-video comedy film , directed by Alan Metter starring Mary-Kate and Ashley Olsen .","[[[142840,157977,""Billboard_Dad"",0]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
121645,Billboard Dad stars Ashley and Mary-Kate Olsen.,Supported,121645,Billboard Dad stars Ashley and Mary-Kate Olsen.,Supported,"Billboard Dad -LRB- film -RRB- is a 1998 American direct-to-video comedy film , directed by Alan Metter starring Mary-Kate and Ashley Olsen .","[[[142840,157977,""Billboard_Dad"",0]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
121645,Billboard Dad stars Ashley and Mary-Kate Olsen.,Supported,121645,Billboard Dad stars Ashley and Mary-Kate Olsen.,Supported,"Billboard Dad -LRB- film -RRB- is a 1998 American direct-to-video comedy film , directed by Alan Metter starring Mary-Kate and Ashley Olsen .","[[[142840,157977,""Billboard_Dad"",0]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
36829,Highway to Heaven is a Korean television series.,Refuted,36829,Highway to Heaven is a Korean television series.,Refuted,Highway to Heaven is an American television drama series which ran on NBC from 1984 to 1989 .,"[[[53012,62953,""Highway_to_Heaven"",0]]]",gpt-5.4,claim_only,Refuted,Yes,,
36829,Highway to Heaven is a Korean television series.,Refuted,36829,Highway to Heaven is a Korean television series.,Refuted,Highway to Heaven is an American television drama series which ran on NBC from 1984 to 1989 .,"[[[53012,62953,""Highway_to_Heaven"",0]]]",gpt-5.4,claim_plus_evidence,Refuted,Yes,,
36829,Highway to Heaven is a Korean television series.,Refuted,36829,Highway to Heaven is a Korean television series.,Refuted,Highway to Heaven is an American television drama series which ran on NBC from 1984 to 1989 .,"[[[53012,62953,""Highway_to_Heaven"",0]]]",gpt-5.4-mini,claim_only,Refuted,Yes,,
36829,Highway to Heaven is a Korean television series.,Refuted,36829,Highway to Heaven is a Korean television series.,Refuted,Highway to Heaven is an American television drama series which ran on NBC from 1984 to 1989 .,"[[[53012,62953,""Highway_to_Heaven"",0]]]",gpt-5.4-mini,claim_plus_evidence,Refuted,Yes,,
169000,Manmohan Singh was a prime minister in 2009 after the first Prime Minister of India.,Refuted,169000,Manmohan Singh was a prime minister in 2009 after the first Prime Minister of India.,Refuted,Manmohan Singh -LRB- -LSB- mənˈmoːɦən ˈsɪ́ŋɡ -RSB- ; born 26 September 1932 -RRB- is an Indian economist and politician who served as the Prime Minister of India from 2004 to 2014 .,"[[[194756,205124,""Manmohan_Singh"",0]]]",gpt-5.4,claim_only,Supported,No,refuted_to_supported,
169000,Manmohan Singh was a prime minister in 2009 after the first Prime Minister of India.,Refuted,169000,Manmohan Singh was a prime minister in 2009 after the first Prime Minister of India.,Refuted,Manmohan Singh -LRB- -LSB- mənˈmoːɦən ˈsɪ́ŋɡ -RSB- ; born 26 September 1932 -RRB- is an Indian economist and politician who served as the Prime Minister of India from 2004 to 2014 .,"[[[194756,205124,""Manmohan_Singh"",0]]]",gpt-5.4,claim_plus_evidence,Supported,No,refuted_to_supported,
169000,Manmohan Singh was a prime minister in 2009 after the first Prime Minister of India.,Refuted,169000,Manmohan Singh was a prime minister in 2009 after the first Prime Minister of India.,Refuted,Manmohan Singh -LRB- -LSB- mənˈmoːɦən ˈsɪ́ŋɡ -RSB- ; born 26 September 1932 -RRB- is an Indian economist and politician who served as the Prime Minister of India from 2004 to 2014 .,"[[[194756,205124,""Manmohan_Singh"",0]]]",gpt-5.4-mini,claim_only,Supported,No,refuted_to_supported,
169000,Manmohan Singh was a prime minister in 2009 after the first Prime Minister of India.,Refuted,169000,Manmohan Singh was a prime minister in 2009 after the first Prime Minister of India.,Refuted,Manmohan Singh -LRB- -LSB- mənˈmoːɦən ˈsɪ́ŋɡ -RSB- ; born 26 September 1932 -RRB- is an Indian economist and politician who served as the Prime Minister of India from 2004 to 2014 .,"[[[194756,205124,""Manmohan_Singh"",0]]]",gpt-5.4-mini,claim_plus_evidence,Supported,No,refuted_to_supported,
6539,Jack Falahee's birth year is 1989.,Supported,6539,Jack Falahee's birth year is 1989.,Supported,"Jack Ryan Falahee -LRB- born February 20 , 1989 -RRB- is an American actor .","[[[23298,28712,""Jack_Falahee"",0]]]",gpt-5.4,claim_only,Supported,Yes,,
6539,Jack Falahee's birth year is 1989.,Supported,6539,Jack Falahee's birth year is 1989.,Supported,"Jack Ryan Falahee -LRB- born February 20 , 1989 -RRB- is an American actor .","[[[23298,28712,""Jack_Falahee"",0]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
6539,Jack Falahee's birth year is 1989.,Supported,6539,Jack Falahee's birth year is 1989.,Supported,"Jack Ryan Falahee -LRB- born February 20 , 1989 -RRB- is an American actor .","[[[23298,28712,""Jack_Falahee"",0]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
6539,Jack Falahee's birth year is 1989.,Supported,6539,Jack Falahee's birth year is 1989.,Supported,"Jack Ryan Falahee -LRB- born February 20 , 1989 -RRB- is an American actor .","[[[23298,28712,""Jack_Falahee"",0]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
63627,Rhythm Nation was covered by an American singer and songwriter.,Supported,63627,Rhythm Nation was covered by an American singer and songwriter.,Supported,"It has been covered by Pink , Crystal Kay , and Girls ' Generation and has also been performed on Glee , The X-Factor , and Britain 's Got Talent .","[[[80568,92407,""Rhythm_Nation"",23],[80568,92407,""Pink_-LRB-singer-RRB-"",0]]]",gpt-5.4,claim_only,Supported,Yes,,
