example_id,claim,gold_label,raw_evidence,gold_evidence,model,condition,model_output,correct,error_type,notes
128123,Mohra is a truck.,Refuted,"[[[150114,165059,""Mohra"",0]]]",,,,,,,
86175,Hourglass is performed by a Russian singer-songwriter.,Refuted,"[[[103338,116734,""Hourglass_-LRB-James_Taylor_album-RRB-"",0],[103338,116734,""James_Taylor"",0]]]",,,,,,,
41665,"There are not rumors that Augustus' wife, Livia, poisoned him.",Refuted,"[[[57952,68182,""Augustus"",42]]]",,,,,,,
21775,Vedam was written and directed by Christopher Nolan.,Refuted,"[[[37589,45525,""Vedam_-LRB-film-RRB-"",0]]]",,,,,,,
43608,Magic Johnson was a tap dancer.,Refuted,"[[[59918,70316,""Magic_Johnson"",0]]]",,,,,,,
66638,The Adventures of Pluto Nash was reviewed by Ron Underwood.,Refuted,"[[[83211,95159,""The_Adventures_of_Pluto_Nash"",0]]]",,,,,,,
26839,Hedda Gabler's world premiere took place at the Battle of Hastings.,Refuted,"[[[43032,51677,""Hedda_Gabler"",1]]]",,,,,,,
146231,Juventus F.C. rejected their traditional black-and-white-striped home uniform in 1903.,Refuted,"[[[169723,183310,""Juventus_F.C."",1]]]",,,,,,,
227130,New Orleans Pelicans compete in the National Football Association.,Refuted,"[[[270825,266809,""New_Orleans_Pelicans"",0],[270825,266809,""New_Orleans_Pelicans"",1]]]",,,,,,,
134710,Starrcade was an annual professional wrestling event that began in 1988.,Refuted,"[[[157269,171839,""Starrcade"",0]],[[157275,171845,""Starrcade"",0]],[[157275,171846,""Starrcade"",5]]]",,,,,,,
114567,Seohyun is a dog.,Refuted,"[[[134526,149420,""Seohyun"",0]]]",,,,,,,
71986,Steve Wozniak was born after the Apple II came out.,Refuted,"[[[88672,101304,""Steve_Wozniak"",5]]]",,,,,,,
163980,Veeram is something other than an Indian Tamil film.,Refuted,"[[[188651,200108,""Veeram_-LRB-2014_film-RRB-"",0]]]",,,,,,,
34412,Jayasudha is an actor that stars in Daag.,Refuted,"[[[50596,60132,""Daag_-LRB-1973_film-RRB-"",10]]]",,,,,,,
150217,"John Dolmayan was born on July 15, 1873.",Refuted,"[[[174042,187227,""John_Dolmayan"",0]]]",,,,,,,
202783,Despicable Me 2 was directed by a lake.,Refuted,"[[[238996,240948,""Despicable_Me_2"",1],[238996,240948,""Chris_Renaud_-LRB-animator-RRB-"",0]],[[239000,240950,""Despicable_Me_2"",1],[239000,240950,""Chris_Renaud_-LRB-animator-RRB-"",0],[239000,240950,""Pierre_Coffin"",0]]]",,,,,,,
80205,Reign Over Me was released in 2017.,Refuted,"[[[97175,110361,""Reign_Over_Me"",4]],[[97179,110363,""Reign_Over_Me"",4],[97179,110363,""Reign_Over_Me"",0]]]",,,,,,,
43776,Colin Kaepernick is a poker player.,Refuted,"[[[60099,70515,""Colin_Kaepernick"",0]]]",,,,,,,
79538,Sheryl Lee has yet to appear in a film as of 2016.,Refuted,"[[[96482,109652,""Sheryl_Lee"",1]],[[96482,109653,""Sheryl_Lee"",5]],[[96482,109654,""Sheryl_Lee"",6]],[[96482,109655,""Sheryl_Lee"",7],[96482,109655,""Cafe\u0301_Society_-LRB-film-RRB-"",0]],[[96491,109666,""Sheryl_Lee"",5],[96491,109666,""Backbeat_-LRB-film-RRB-"",0]],[[96491,109667,""Sheryl_Lee"",6]],[[96498,109671,""Sheryl_Lee"",1]],[[96498,109672,""Sheryl_Lee"",5],[96498,109672,""Mother_Night_-LRB-film-RRB-"",9],[96498,109672,""Mother_Night_-LRB-film-RRB-"",0],[96498,109672,""Backbeat_-LRB-film-RRB-"",2],[96498,109672,""Backbeat_-LRB-film-RRB-"",0]],[[96498,109673,""Sheryl_Lee"",6]],[[96498,109674,""Sheryl_Lee"",7],[96498,109674,""Cafe\u0301_Society_-LRB-film-RRB-"",0]]]",,,,,,,
172478,Matteo Renzi is German.,Refuted,"[[[199073,208752,""Matteo_Renzi"",0]]]",,,,,,,
60977,The highest point of the Hindu Kush is Everest.,Refuted,"[[[77491,88936,""Hindu_Kush"",5]]]",,,,,,,
100584,Same Old Love is disassociated from Selena Gomez.,Refuted,"[[[118262,132098,""Same_Old_Love"",0]],[[118262,132099,""Same_Old_Love"",20]]]",,,,,,,
32820,The heart beats at a resting rate close to 22 beats per minute.,Refuted,"[[[48908,58231,""Heart"",18]]]",,,,,,,
215500,Weekly Idol is hosted by Yoo Jae Suk.,Refuted,"[[[255999,255303,""Weekly_Idol"",1]]]",,,,,,,
4713,Tool has won three Oscars.,Refuted,"[[[21057,25849,""Tool_-LRB-band-RRB-"",3]]]",,,,,,,
105419,Youtube is not a website.,Refuted,"[[[123742,138131,""YouTube"",0]]]",,,,,,,
10328,"Sidse Babett Knudsen graduated on November 22nd, 1968.",Refuted,"[[[25294,31192,""Sidse_Babett_Knudsen"",0]]]",,,,,,,
11432,The first inauguration of Bill Clinton made him the 50th President of the United States.,Refuted,"[[[26608,32656,""First_inauguration_of_Bill_Clinton"",0]]]",,,,,,,
125513,The dress did not inspire hashtags.,Refuted,"[[[147203,162193,""The_dress"",5]]]",,,,,,,
130920,"Bruce Shand was born on September 22nd, 1917.",Refuted,"[[[153174,167931,""Bruce_Shand"",0]]]",,,,,,,
