claim_id,claim_text,true_label,example_id,claim,gold_label,gold_evidence,evidence_sentences_json,evidence_pages_json,evidence_set_size,evidence_set_id,raw_evidence,model,condition,model_output,correct,error_type,notes
786,Shawn Carlson is American.,Supported,786,Shawn Carlson is American.,Supported,"Shawn Carlson -LRB- born 1960 -RRB- is an American physicist , science writer , and a STEM educator .","[""Shawn Carlson -LRB- born 1960 -RRB- is an American physicist , science writer , and a STEM educator .""]","[""Shawn_Carlson""]",1,fever_set_8c5268188882,"[[[16281,20178,""Shawn_Carlson"",0]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
786,Shawn Carlson is American.,Supported,786,Shawn Carlson is American.,Supported,"Shawn Carlson -LRB- born 1960 -RRB- is an American physicist , science writer , and a STEM educator .","[""Shawn Carlson -LRB- born 1960 -RRB- is an American physicist , science writer , and a STEM educator .""]","[""Shawn_Carlson""]",1,fever_set_8c5268188882,"[[[16281,20178,""Shawn_Carlson"",0]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
531,Keegan-Michael Key played zero characters.,Refuted,531,Keegan-Michael Key played zero characters.,Refuted,He starred in the Comedy Central sketch series Key & Peele and co-stars in the USA Network comedy series Playing House .,"[""He starred in the Comedy Central sketch series Key & Peele and co-stars in the USA Network comedy series Playing House .""]","[""Keegan-Michael_Key""]",1,fever_set_8ad8aa7f2326,"[[[15983,19864,""Keegan-Michael_Key"",1]],[[15983,19865,""Keegan-Michael_Key"",5]],[[15983,19866,""Keegan-Michael_Key"",7]]]",gpt-5.4,claim_only,Refuted,Yes,,
531,Keegan-Michael Key played zero characters.,Refuted,531,Keegan-Michael Key played zero characters.,Refuted,He starred in the Comedy Central sketch series Key & Peele and co-stars in the USA Network comedy series Playing House .,"[""He starred in the Comedy Central sketch series Key & Peele and co-stars in the USA Network comedy series Playing House .""]","[""Keegan-Michael_Key""]",1,fever_set_8ad8aa7f2326,"[[[15983,19864,""Keegan-Michael_Key"",1]],[[15983,19865,""Keegan-Michael_Key"",5]],[[15983,19866,""Keegan-Michael_Key"",7]]]",gpt-5.4,claim_plus_evidence,Refuted,Yes,,
531,Keegan-Michael Key played zero characters.,Refuted,531,Keegan-Michael Key played zero characters.,Refuted,He starred in the Comedy Central sketch series Key & Peele and co-stars in the USA Network comedy series Playing House .,"[""He starred in the Comedy Central sketch series Key & Peele and co-stars in the USA Network comedy series Playing House .""]","[""Keegan-Michael_Key""]",1,fever_set_8ad8aa7f2326,"[[[15983,19864,""Keegan-Michael_Key"",1]],[[15983,19865,""Keegan-Michael_Key"",5]],[[15983,19866,""Keegan-Michael_Key"",7]]]",gpt-5.4-mini,claim_only,Refuted,Yes,,
531,Keegan-Michael Key played zero characters.,Refuted,531,Keegan-Michael Key played zero characters.,Refuted,He starred in the Comedy Central sketch series Key & Peele and co-stars in the USA Network comedy series Playing House .,"[""He starred in the Comedy Central sketch series Key & Peele and co-stars in the USA Network comedy series Playing House .""]","[""Keegan-Michael_Key""]",1,fever_set_8ad8aa7f2326,"[[[15983,19864,""Keegan-Michael_Key"",1]],[[15983,19865,""Keegan-Michael_Key"",5]],[[15983,19866,""Keegan-Michael_Key"",7]]]",gpt-5.4-mini,claim_plus_evidence,Refuted,Yes,,
558,Rabies can spread through saliva.,Supported,558,Rabies can spread through saliva.,Supported,"Saliva from an infected animal can also transmit rabies if the saliva comes into contact with the eyes , mouth , or nose .","[""Saliva from an infected animal can also transmit rabies if the saliva comes into contact with the eyes , mouth , or nose .""]","[""Rabies""]",1,fever_set_73c2e9ef01fd,"[[[15997,19874,""Rabies"",10]]]",gpt-5.4,claim_only,Supported,Yes,,
558,Rabies can spread through saliva.,Supported,558,Rabies can spread through saliva.,Supported,"Saliva from an infected animal can also transmit rabies if the saliva comes into contact with the eyes , mouth , or nose .","[""Saliva from an infected animal can also transmit rabies if the saliva comes into contact with the eyes , mouth , or nose .""]","[""Rabies""]",1,fever_set_73c2e9ef01fd,"[[[15997,19874,""Rabies"",10]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
558,Rabies can spread through saliva.,Supported,558,Rabies can spread through saliva.,Supported,"Saliva from an infected animal can also transmit rabies if the saliva comes into contact with the eyes , mouth , or nose .","[""Saliva from an infected animal can also transmit rabies if the saliva comes into contact with the eyes , mouth , or nose .""]","[""Rabies""]",1,fever_set_73c2e9ef01fd,"[[[15997,19874,""Rabies"",10]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
558,Rabies can spread through saliva.,Supported,558,Rabies can spread through saliva.,Supported,"Saliva from an infected animal can also transmit rabies if the saliva comes into contact with the eyes , mouth , or nose .","[""Saliva from an infected animal can also transmit rabies if the saliva comes into contact with the eyes , mouth , or nose .""]","[""Rabies""]",1,fever_set_73c2e9ef01fd,"[[[15997,19874,""Rabies"",10]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
528,"Musala is 2,925 meters.",Supported,528,"Musala is 2,925 meters.",Supported,"Musala -LRB- Мусала from Arabic through Ottoman Turkish : Musalla , `` near God '' or `` place for prayer '' is the highest peak in the entire Balkan Peninsula , standing at 2,925 m -LRB- 9,596 ft -RRB- .","[""Musala -LRB- Мусала from Arabic through Ottoman Turkish : Musalla , `` near God '' or `` place for prayer '' is the highest peak in the entire Balkan Peninsula , standing at 2,925 m -LRB- 9,596 ft -RRB- .""]","[""Musala""]",1,fever_set_c87cb5dcf18d,"[[[15966,19849,""Musala"",0]]]",gpt-5.4,claim_only,Supported,Yes,,
528,"Musala is 2,925 meters.",Supported,528,"Musala is 2,925 meters.",Supported,"Musala -LRB- Мусала from Arabic through Ottoman Turkish : Musalla , `` near God '' or `` place for prayer '' is the highest peak in the entire Balkan Peninsula , standing at 2,925 m -LRB- 9,596 ft -RRB- .","[""Musala -LRB- Мусала from Arabic through Ottoman Turkish : Musalla , `` near God '' or `` place for prayer '' is the highest peak in the entire Balkan Peninsula , standing at 2,925 m -LRB- 9,596 ft -RRB- .""]","[""Musala""]",1,fever_set_c87cb5dcf18d,"[[[15966,19849,""Musala"",0]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
528,"Musala is 2,925 meters.",Supported,528,"Musala is 2,925 meters.",Supported,"Musala -LRB- Мусала from Arabic through Ottoman Turkish : Musalla , `` near God '' or `` place for prayer '' is the highest peak in the entire Balkan Peninsula , standing at 2,925 m -LRB- 9,596 ft -RRB- .","[""Musala -LRB- Мусала from Arabic through Ottoman Turkish : Musalla , `` near God '' or `` place for prayer '' is the highest peak in the entire Balkan Peninsula , standing at 2,925 m -LRB- 9,596 ft -RRB- .""]","[""Musala""]",1,fever_set_c87cb5dcf18d,"[[[15966,19849,""Musala"",0]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
528,"Musala is 2,925 meters.",Supported,528,"Musala is 2,925 meters.",Supported,"Musala -LRB- Мусала from Arabic through Ottoman Turkish : Musalla , `` near God '' or `` place for prayer '' is the highest peak in the entire Balkan Peninsula , standing at 2,925 m -LRB- 9,596 ft -RRB- .","[""Musala -LRB- Мусала from Arabic through Ottoman Turkish : Musalla , `` near God '' or `` place for prayer '' is the highest peak in the entire Balkan Peninsula , standing at 2,925 m -LRB- 9,596 ft -RRB- .""]","[""Musala""]",1,fever_set_c87cb5dcf18d,"[[[15966,19849,""Musala"",0]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
97,Craig David is a pop music performer.,Supported,97,Craig David is a pop music performer.,Supported,"Craig Ashley David -LRB- born 5 May 1981 -RRB- is a British singer , songwriter , rapper and record producer who rose to fame in 1999 , featuring on the single , `` Re-Rewind '' by Artful Dodger .","[""Craig Ashley David -LRB- born 5 May 1981 -RRB- is a British singer , songwriter , rapper and record producer who rose to fame in 1999 , featuring on the single , `` Re-Rewind '' by Artful Dodger .""]","[""Craig_David""]",1,fever_set_812798afd5a5,"[[[15913,19778,""Craig_David"",0]],[[15913,19779,""Craig_David"",5]],[[15913,19780,""Craig_David"",2]]]",gpt-5.4,claim_only,Supported,Yes,,
97,Craig David is a pop music performer.,Supported,97,Craig David is a pop music performer.,Supported,"Craig Ashley David -LRB- born 5 May 1981 -RRB- is a British singer , songwriter , rapper and record producer who rose to fame in 1999 , featuring on the single , `` Re-Rewind '' by Artful Dodger .","[""Craig Ashley David -LRB- born 5 May 1981 -RRB- is a British singer , songwriter , rapper and record producer who rose to fame in 1999 , featuring on the single , `` Re-Rewind '' by Artful Dodger .""]","[""Craig_David""]",1,fever_set_812798afd5a5,"[[[15913,19778,""Craig_David"",0]],[[15913,19779,""Craig_David"",5]],[[15913,19780,""Craig_David"",2]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
97,Craig David is a pop music performer.,Supported,97,Craig David is a pop music performer.,Supported,"Craig Ashley David -LRB- born 5 May 1981 -RRB- is a British singer , songwriter , rapper and record producer who rose to fame in 1999 , featuring on the single , `` Re-Rewind '' by Artful Dodger .","[""Craig Ashley David -LRB- born 5 May 1981 -RRB- is a British singer , songwriter , rapper and record producer who rose to fame in 1999 , featuring on the single , `` Re-Rewind '' by Artful Dodger .""]","[""Craig_David""]",1,fever_set_812798afd5a5,"[[[15913,19778,""Craig_David"",0]],[[15913,19779,""Craig_David"",5]],[[15913,19780,""Craig_David"",2]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
97,Craig David is a pop music performer.,Supported,97,Craig David is a pop music performer.,Supported,"Craig Ashley David -LRB- born 5 May 1981 -RRB- is a British singer , songwriter , rapper and record producer who rose to fame in 1999 , featuring on the single , `` Re-Rewind '' by Artful Dodger .","[""Craig Ashley David -LRB- born 5 May 1981 -RRB- is a British singer , songwriter , rapper and record producer who rose to fame in 1999 , featuring on the single , `` Re-Rewind '' by Artful Dodger .""]","[""Craig_David""]",1,fever_set_812798afd5a5,"[[[15913,19778,""Craig_David"",0]],[[15913,19779,""Craig_David"",5]],[[15913,19780,""Craig_David"",2]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
972,Stan Beeman is a fictional setting.,Refuted,972,Stan Beeman is a fictional setting.,Refuted,"Stan Beeman is a fictional character in the American television drama series The Americans on FX , and the supporting male character .","[""Stan Beeman is a fictional character in the American television drama series The Americans on FX , and the supporting male character .""]","[""Stan_Beeman""]",1,fever_set_47b82828ed08,"[[[16515,20455,""Stan_Beeman"",0]]]",gpt-5.4,claim_only,Refuted,Yes,,
972,Stan Beeman is a fictional setting.,Refuted,972,Stan Beeman is a fictional setting.,Refuted,"Stan Beeman is a fictional character in the American television drama series The Americans on FX , and the supporting male character .","[""Stan Beeman is a fictional character in the American television drama series The Americans on FX , and the supporting male character .""]","[""Stan_Beeman""]",1,fever_set_47b82828ed08,"[[[16515,20455,""Stan_Beeman"",0]]]",gpt-5.4,claim_plus_evidence,Refuted,Yes,,
972,Stan Beeman is a fictional setting.,Refuted,972,Stan Beeman is a fictional setting.,Refuted,"Stan Beeman is a fictional character in the American television drama series The Americans on FX , and the supporting male character .","[""Stan Beeman is a fictional character in the American television drama series The Americans on FX , and the supporting male character .""]","[""Stan_Beeman""]",1,fever_set_47b82828ed08,"[[[16515,20455,""Stan_Beeman"",0]]]",gpt-5.4-mini,claim_only,Refuted,Yes,,
972,Stan Beeman is a fictional setting.,Refuted,972,Stan Beeman is a fictional setting.,Refuted,"Stan Beeman is a fictional character in the American television drama series The Americans on FX , and the supporting male character .","[""Stan Beeman is a fictional character in the American television drama series The Americans on FX , and the supporting male character .""]","[""Stan_Beeman""]",1,fever_set_47b82828ed08,"[[[16515,20455,""Stan_Beeman"",0]]]",gpt-5.4-mini,claim_plus_evidence,Refuted,Yes,,
69,David Packouz was born in 1982.,Supported,69,David Packouz was born in 1982.,Supported,"David Mordechai Packouz -LRB- -LSB- pækhaʊs -RSB- born February 16 , 1982 -RRB- is an American former arms dealer , musician , inventor and entrepreneur .","[""David Mordechai Packouz -LRB- -LSB- pækhaʊs -RSB- born February 16 , 1982 -RRB- is an American former arms dealer , musician , inventor and entrepreneur .""]","[""David_Packouz""]",1,fever_set_282571ff77d0,"[[[15315,19102,""David_Packouz"",0]]]",gpt-5.4,claim_only,Supported,Yes,,
69,David Packouz was born in 1982.,Supported,69,David Packouz was born in 1982.,Supported,"David Mordechai Packouz -LRB- -LSB- pækhaʊs -RSB- born February 16 , 1982 -RRB- is an American former arms dealer , musician , inventor and entrepreneur .","[""David Mordechai Packouz -LRB- -LSB- pækhaʊs -RSB- born February 16 , 1982 -RRB- is an American former arms dealer , musician , inventor and entrepreneur .""]","[""David_Packouz""]",1,fever_set_282571ff77d0,"[[[15315,19102,""David_Packouz"",0]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
69,David Packouz was born in 1982.,Supported,69,David Packouz was born in 1982.,Supported,"David Mordechai Packouz -LRB- -LSB- pækhaʊs -RSB- born February 16 , 1982 -RRB- is an American former arms dealer , musician , inventor and entrepreneur .","[""David Mordechai Packouz -LRB- -LSB- pækhaʊs -RSB- born February 16 , 1982 -RRB- is an American former arms dealer , musician , inventor and entrepreneur .""]","[""David_Packouz""]",1,fever_set_282571ff77d0,"[[[15315,19102,""David_Packouz"",0]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
69,David Packouz was born in 1982.,Supported,69,David Packouz was born in 1982.,Supported,"David Mordechai Packouz -LRB- -LSB- pækhaʊs -RSB- born February 16 , 1982 -RRB- is an American former arms dealer , musician , inventor and entrepreneur .","[""David Mordechai Packouz -LRB- -LSB- pækhaʊs -RSB- born February 16 , 1982 -RRB- is an American former arms dealer , musician , inventor and entrepreneur .""]","[""David_Packouz""]",1,fever_set_282571ff77d0,"[[[15315,19102,""David_Packouz"",0]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
637,Liberal Socialists were the only people to form The Blue Dog Coalition.,Refuted,637,Liberal Socialists were the only people to form The Blue Dog Coalition.,Refuted,"The Blue Dog Coalition , commonly known as the Blue Dogs or Blue Dog Democrats , is a caucus of United States Congressional Representatives from the Democratic Party who identify as conservative Democrats .","[""The Blue Dog Coalition , commonly known as the Blue Dogs or Blue Dog Democrats , is a caucus of United States Congressional Representatives from the Democratic Party who identify as conservative Democrats .""]","[""Blue_Dog_Coalition""]",1,fever_set_ed3dd36c4a52,"[[[16072,19941,""Blue_Dog_Coalition"",0]]]",gpt-5.4,claim_only,Refuted,Yes,,
637,Liberal Socialists were the only people to form The Blue Dog Coalition.,Refuted,637,Liberal Socialists were the only people to form The Blue Dog Coalition.,Refuted,"The Blue Dog Coalition , commonly known as the Blue Dogs or Blue Dog Democrats , is a caucus of United States Congressional Representatives from the Democratic Party who identify as conservative Democrats .","[""The Blue Dog Coalition , commonly known as the Blue Dogs or Blue Dog Democrats , is a caucus of United States Congressional Representatives from the Democratic Party who identify as conservative Democrats .""]","[""Blue_Dog_Coalition""]",1,fever_set_ed3dd36c4a52,"[[[16072,19941,""Blue_Dog_Coalition"",0]]]",gpt-5.4,claim_plus_evidence,Refuted,Yes,,
637,Liberal Socialists were the only people to form The Blue Dog Coalition.,Refuted,637,Liberal Socialists were the only people to form The Blue Dog Coalition.,Refuted,"The Blue Dog Coalition , commonly known as the Blue Dogs or Blue Dog Democrats , is a caucus of United States Congressional Representatives from the Democratic Party who identify as conservative Democrats .","[""The Blue Dog Coalition , commonly known as the Blue Dogs or Blue Dog Democrats , is a caucus of United States Congressional Representatives from the Democratic Party who identify as conservative Democrats .""]","[""Blue_Dog_Coalition""]",1,fever_set_ed3dd36c4a52,"[[[16072,19941,""Blue_Dog_Coalition"",0]]]",gpt-5.4-mini,claim_only,Refuted,Yes,,
637,Liberal Socialists were the only people to form The Blue Dog Coalition.,Refuted,637,Liberal Socialists were the only people to form The Blue Dog Coalition.,Refuted,"The Blue Dog Coalition , commonly known as the Blue Dogs or Blue Dog Democrats , is a caucus of United States Congressional Representatives from the Democratic Party who identify as conservative Democrats .","[""The Blue Dog Coalition , commonly known as the Blue Dogs or Blue Dog Democrats , is a caucus of United States Congressional Representatives from the Democratic Party who identify as conservative Democrats .""]","[""Blue_Dog_Coalition""]",1,fever_set_ed3dd36c4a52,"[[[16072,19941,""Blue_Dog_Coalition"",0]]]",gpt-5.4-mini,claim_plus_evidence,Refuted,Yes,,
753,Tottenham Hotspur F.C. is a basketball team.,Refuted,753,Tottenham Hotspur F.C. is a basketball team.,Refuted,"Tottenham Hotspur Football Club -LSB- ˈtɒtnəm , _ - tənəm -RSB- , commonly referred to as Spurs , is an English football club located in Tottenham , Haringey , London , that competes in the Premier League .","[""Tottenham Hotspur Football Club -LSB- ˈtɒtnəm , _ - tənəm -RSB- , commonly referred to as Spurs , is an English football club located in Tottenham , Haringey , London , that competes in the Premier League .""]","[""Tottenham_Hotspur_F.C.""]",1,fever_set_9c743013fef4,"[[[16231,20116,""Tottenham_Hotspur_F.C."",0]],[[16231,20117,""Tottenham_Hotspur_F.C."",5]],[[16231,20118,""Tottenham_Hotspur_F.C."",6],[16231,20118,""FA_Cup"",0]],[[16231,20119,""Tottenham_Hotspur_F.C."",7],[16231,20119,""FA_Cup"",0]],[[16231,20120,""Tottenham_Hotspur_F.C."",8],[16231,20120,""FA_Cup"",0]],[[16231,20121,""Tottenham_Hotspur_F.C."",9],[16231,20121,""EFL_Cup"",0]],[[16231,20122,""Tottenham_Hotspur_F.C."",11],[16231,20122,""FA_Cup"",0]],[[16231,20123,""Tottenham_Hotspur_F.C."",12],[16231,20123,""EFL_Cup"",0]],[[16231,20124,""Tottenham_Hotspur_F.C."",15]]]",gpt-5.4,claim_only,Refuted,Yes,,
753,Tottenham Hotspur F.C. is a basketball team.,Refuted,753,Tottenham Hotspur F.C. is a basketball team.,Refuted,"Tottenham Hotspur Football Club -LSB- ˈtɒtnəm , _ - tənəm -RSB- , commonly referred to as Spurs , is an English football club located in Tottenham , Haringey , London , that competes in the Premier League .","[""Tottenham Hotspur Football Club -LSB- ˈtɒtnəm , _ - tənəm -RSB- , commonly referred to as Spurs , is an English football club located in Tottenham , Haringey , London , that competes in the Premier League .""]","[""Tottenham_Hotspur_F.C.""]",1,fever_set_9c743013fef4,"[[[16231,20116,""Tottenham_Hotspur_F.C."",0]],[[16231,20117,""Tottenham_Hotspur_F.C."",5]],[[16231,20118,""Tottenham_Hotspur_F.C."",6],[16231,20118,""FA_Cup"",0]],[[16231,20119,""Tottenham_Hotspur_F.C."",7],[16231,20119,""FA_Cup"",0]],[[16231,20120,""Tottenham_Hotspur_F.C."",8],[16231,20120,""FA_Cup"",0]],[[16231,20121,""Tottenham_Hotspur_F.C."",9],[16231,20121,""EFL_Cup"",0]],[[16231,20122,""Tottenham_Hotspur_F.C."",11],[16231,20122,""FA_Cup"",0]],[[16231,20123,""Tottenham_Hotspur_F.C."",12],[16231,20123,""EFL_Cup"",0]],[[16231,20124,""Tottenham_Hotspur_F.C."",15]]]",gpt-5.4,claim_plus_evidence,Refuted,Yes,,
753,Tottenham Hotspur F.C. is a basketball team.,Refuted,753,Tottenham Hotspur F.C. is a basketball team.,Refuted,"Tottenham Hotspur Football Club -LSB- ˈtɒtnəm , _ - tənəm -RSB- , commonly referred to as Spurs , is an English football club located in Tottenham , Haringey , London , that competes in the Premier League .","[""Tottenham Hotspur Football Club -LSB- ˈtɒtnəm , _ - tənəm -RSB- , commonly referred to as Spurs , is an English football club located in Tottenham , Haringey , London , that competes in the Premier League .""]","[""Tottenham_Hotspur_F.C.""]",1,fever_set_9c743013fef4,"[[[16231,20116,""Tottenham_Hotspur_F.C."",0]],[[16231,20117,""Tottenham_Hotspur_F.C."",5]],[[16231,20118,""Tottenham_Hotspur_F.C."",6],[16231,20118,""FA_Cup"",0]],[[16231,20119,""Tottenham_Hotspur_F.C."",7],[16231,20119,""FA_Cup"",0]],[[16231,20120,""Tottenham_Hotspur_F.C."",8],[16231,20120,""FA_Cup"",0]],[[16231,20121,""Tottenham_Hotspur_F.C."",9],[16231,20121,""EFL_Cup"",0]],[[16231,20122,""Tottenham_Hotspur_F.C."",11],[16231,20122,""FA_Cup"",0]],[[16231,20123,""Tottenham_Hotspur_F.C."",12],[16231,20123,""EFL_Cup"",0]],[[16231,20124,""Tottenham_Hotspur_F.C."",15]]]",gpt-5.4-mini,claim_only,Refuted,Yes,,
