claim_id,claim_text,true_label,example_id,claim,gold_label,gold_evidence,raw_evidence,model,condition,model_output,correct,error_type,notes
2938,Legendary Entertainment is an independent company.,Refuted,2938,Legendary Entertainment is an independent company.,Refuted,"Since 2016 , Legendary has been a subsidiary of the Chinese conglomerate Wanda Group .","[[[20280,24821,""Legendary_Entertainment"",2]]]",gpt-5.4-mini,claim_only,Supported,No,refuted_to_supported,
2938,Legendary Entertainment is an independent company.,Refuted,2938,Legendary Entertainment is an independent company.,Refuted,"Since 2016 , Legendary has been a subsidiary of the Chinese conglomerate Wanda Group .","[[[20280,24821,""Legendary_Entertainment"",2]]]",gpt-5.4-mini,claim_plus_evidence,Refuted,Yes,,
4246,Meteora is a country album.,Refuted,4246,Meteora is a country album.,Refuted,Meteora is the second studio album by American rock band Linkin Park .,"[[[20510,25142,""Meteora_-LRB-album-RRB-"",0]],[[20510,25143,""Meteora_-LRB-album-RRB-"",13]]]",gpt-5.4,claim_only,Refuted,Yes,,
4246,Meteora is a country album.,Refuted,4246,Meteora is a country album.,Refuted,Meteora is the second studio album by American rock band Linkin Park .,"[[[20510,25142,""Meteora_-LRB-album-RRB-"",0]],[[20510,25143,""Meteora_-LRB-album-RRB-"",13]]]",gpt-5.4,claim_plus_evidence,Refuted,Yes,,
4246,Meteora is a country album.,Refuted,4246,Meteora is a country album.,Refuted,Meteora is the second studio album by American rock band Linkin Park .,"[[[20510,25142,""Meteora_-LRB-album-RRB-"",0]],[[20510,25143,""Meteora_-LRB-album-RRB-"",13]]]",gpt-5.4-mini,claim_only,Refuted,Yes,,
4246,Meteora is a country album.,Refuted,4246,Meteora is a country album.,Refuted,Meteora is the second studio album by American rock band Linkin Park .,"[[[20510,25142,""Meteora_-LRB-album-RRB-"",0]],[[20510,25143,""Meteora_-LRB-album-RRB-"",13]]]",gpt-5.4-mini,claim_plus_evidence,Refuted,Yes,,
9849,Michigan is not a U.S. state.,Refuted,9849,Michigan is not a U.S. state.,Refuted,Michigan -LSB- ˈmɪʃᵻgən -RSB- is a state in the Great Lakes and Midwestern regions of the United States .,"[[[24705,30504,""Michigan"",0]],[[24705,30505,""Michigan"",2]],[[24705,30506,""Michigan"",8],[24705,30506,""U.S._state"",0]]]",gpt-5.4,claim_only,Refuted,Yes,,
9849,Michigan is not a U.S. state.,Refuted,9849,Michigan is not a U.S. state.,Refuted,Michigan -LSB- ˈmɪʃᵻgən -RSB- is a state in the Great Lakes and Midwestern regions of the United States .,"[[[24705,30504,""Michigan"",0]],[[24705,30505,""Michigan"",2]],[[24705,30506,""Michigan"",8],[24705,30506,""U.S._state"",0]]]",gpt-5.4,claim_plus_evidence,Refuted,Yes,,
9849,Michigan is not a U.S. state.,Refuted,9849,Michigan is not a U.S. state.,Refuted,Michigan -LSB- ˈmɪʃᵻgən -RSB- is a state in the Great Lakes and Midwestern regions of the United States .,"[[[24705,30504,""Michigan"",0]],[[24705,30505,""Michigan"",2]],[[24705,30506,""Michigan"",8],[24705,30506,""U.S._state"",0]]]",gpt-5.4-mini,claim_only,Refuted,Yes,,
9849,Michigan is not a U.S. state.,Refuted,9849,Michigan is not a U.S. state.,Refuted,Michigan -LSB- ˈmɪʃᵻgən -RSB- is a state in the Great Lakes and Midwestern regions of the United States .,"[[[24705,30504,""Michigan"",0]],[[24705,30505,""Michigan"",2]],[[24705,30506,""Michigan"",8],[24705,30506,""U.S._state"",0]]]",gpt-5.4-mini,claim_plus_evidence,Refuted,Yes,,
1709,The IPhone 4 was marketed by Apple Inc..,Supported,1709,The IPhone 4 was marketed by Apple Inc..,Supported,The iPhone 4 is a smartphone that was designed and marketed by Apple Inc. .,"[[[17451,21604,""IPhone_4"",0]]]",gpt-5.4,claim_only,Supported,Yes,,
1709,The IPhone 4 was marketed by Apple Inc..,Supported,1709,The IPhone 4 was marketed by Apple Inc..,Supported,The iPhone 4 is a smartphone that was designed and marketed by Apple Inc. .,"[[[17451,21604,""IPhone_4"",0]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
1709,The IPhone 4 was marketed by Apple Inc..,Supported,1709,The IPhone 4 was marketed by Apple Inc..,Supported,The iPhone 4 is a smartphone that was designed and marketed by Apple Inc. .,"[[[17451,21604,""IPhone_4"",0]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
1709,The IPhone 4 was marketed by Apple Inc..,Supported,1709,The IPhone 4 was marketed by Apple Inc..,Supported,The iPhone 4 is a smartphone that was designed and marketed by Apple Inc. .,"[[[17451,21604,""IPhone_4"",0]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
8316,Brent Mydland was a member of the Grateful Dead.,Supported,8316,Brent Mydland was a member of the Grateful Dead.,Supported,"The other official members of the band are Tom Constanten -LRB- keyboards ; 1968 -- 1970 -RRB- , John Perry Barlow -LRB- nonperforming lyricist ; 1971 -- 1995 -RRB- , Keith Godchaux -LRB- keyboards ; 1971 -- 1979 -RRB- , Donna Godchaux -LRB- vocals ; 1972 -- 1979 -RRB- , Brent Mydland -LRB- keyboards , vocals ; 1979 -- 1990 -RRB- , and Vince Welnick -LRB- keyboards , vocals ; 1990 -- 1995 -RRB- .","[[[13512,16877,""Grateful_Dead"",15]]]",gpt-5.4,claim_only,Supported,Yes,,
8316,Brent Mydland was a member of the Grateful Dead.,Supported,8316,Brent Mydland was a member of the Grateful Dead.,Supported,"The other official members of the band are Tom Constanten -LRB- keyboards ; 1968 -- 1970 -RRB- , John Perry Barlow -LRB- nonperforming lyricist ; 1971 -- 1995 -RRB- , Keith Godchaux -LRB- keyboards ; 1971 -- 1979 -RRB- , Donna Godchaux -LRB- vocals ; 1972 -- 1979 -RRB- , Brent Mydland -LRB- keyboards , vocals ; 1979 -- 1990 -RRB- , and Vince Welnick -LRB- keyboards , vocals ; 1990 -- 1995 -RRB- .","[[[13512,16877,""Grateful_Dead"",15]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
8316,Brent Mydland was a member of the Grateful Dead.,Supported,8316,Brent Mydland was a member of the Grateful Dead.,Supported,"The other official members of the band are Tom Constanten -LRB- keyboards ; 1968 -- 1970 -RRB- , John Perry Barlow -LRB- nonperforming lyricist ; 1971 -- 1995 -RRB- , Keith Godchaux -LRB- keyboards ; 1971 -- 1979 -RRB- , Donna Godchaux -LRB- vocals ; 1972 -- 1979 -RRB- , Brent Mydland -LRB- keyboards , vocals ; 1979 -- 1990 -RRB- , and Vince Welnick -LRB- keyboards , vocals ; 1990 -- 1995 -RRB- .","[[[13512,16877,""Grateful_Dead"",15]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
8316,Brent Mydland was a member of the Grateful Dead.,Supported,8316,Brent Mydland was a member of the Grateful Dead.,Supported,"The other official members of the band are Tom Constanten -LRB- keyboards ; 1968 -- 1970 -RRB- , John Perry Barlow -LRB- nonperforming lyricist ; 1971 -- 1995 -RRB- , Keith Godchaux -LRB- keyboards ; 1971 -- 1979 -RRB- , Donna Godchaux -LRB- vocals ; 1972 -- 1979 -RRB- , Brent Mydland -LRB- keyboards , vocals ; 1979 -- 1990 -RRB- , and Vince Welnick -LRB- keyboards , vocals ; 1990 -- 1995 -RRB- .","[[[13512,16877,""Grateful_Dead"",15]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
9504,Pink covered the song Rhythm Nation.,Supported,9504,Pink covered the song Rhythm Nation.,Supported,"It has been covered by Pink , Crystal Kay , and Girls ' Generation and has also been performed on Glee , The X-Factor , and Britain 's Got Talent .","[[[24306,30041,""Rhythm_Nation"",23]]]",gpt-5.4,claim_only,Refuted,No,supported_to_refuted,
9504,Pink covered the song Rhythm Nation.,Supported,9504,Pink covered the song Rhythm Nation.,Supported,"It has been covered by Pink , Crystal Kay , and Girls ' Generation and has also been performed on Glee , The X-Factor , and Britain 's Got Talent .","[[[24306,30041,""Rhythm_Nation"",23]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
9504,Pink covered the song Rhythm Nation.,Supported,9504,Pink covered the song Rhythm Nation.,Supported,"It has been covered by Pink , Crystal Kay , and Girls ' Generation and has also been performed on Glee , The X-Factor , and Britain 's Got Talent .","[[[24306,30041,""Rhythm_Nation"",23]]]",gpt-5.4-mini,claim_only,Refuted,No,supported_to_refuted,
9504,Pink covered the song Rhythm Nation.,Supported,9504,Pink covered the song Rhythm Nation.,Supported,"It has been covered by Pink , Crystal Kay , and Girls ' Generation and has also been performed on Glee , The X-Factor , and Britain 's Got Talent .","[[[24306,30041,""Rhythm_Nation"",23]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
1746,Sheryl Lee has yet to work with Woody Allen.,Refuted,1746,Sheryl Lee has yet to work with Woody Allen.,Refuted,"In 2016 , she appeared in Café Society , and also completed the Showtime revival of Twin Peaks -LRB- 2017 -RRB- , reprising her role of Laura Palmer .","[[[17502,21655,""Sheryl_Lee"",7],[17502,21655,""Cafe\u0301_Society_-LRB-film-RRB-"",0]]]",gpt-5.4,claim_only,Supported,No,refuted_to_supported,
1746,Sheryl Lee has yet to work with Woody Allen.,Refuted,1746,Sheryl Lee has yet to work with Woody Allen.,Refuted,"In 2016 , she appeared in Café Society , and also completed the Showtime revival of Twin Peaks -LRB- 2017 -RRB- , reprising her role of Laura Palmer .","[[[17502,21655,""Sheryl_Lee"",7],[17502,21655,""Cafe\u0301_Society_-LRB-film-RRB-"",0]]]",gpt-5.4,claim_plus_evidence,Refuted,Yes,,
1746,Sheryl Lee has yet to work with Woody Allen.,Refuted,1746,Sheryl Lee has yet to work with Woody Allen.,Refuted,"In 2016 , she appeared in Café Society , and also completed the Showtime revival of Twin Peaks -LRB- 2017 -RRB- , reprising her role of Laura Palmer .","[[[17502,21655,""Sheryl_Lee"",7],[17502,21655,""Cafe\u0301_Society_-LRB-film-RRB-"",0]]]",gpt-5.4-mini,claim_only,Supported,No,refuted_to_supported,
1746,Sheryl Lee has yet to work with Woody Allen.,Refuted,1746,Sheryl Lee has yet to work with Woody Allen.,Refuted,"In 2016 , she appeared in Café Society , and also completed the Showtime revival of Twin Peaks -LRB- 2017 -RRB- , reprising her role of Laura Palmer .","[[[17502,21655,""Sheryl_Lee"",7],[17502,21655,""Cafe\u0301_Society_-LRB-film-RRB-"",0]]]",gpt-5.4-mini,claim_plus_evidence,Refuted,Yes,,
1251,"Watertown, Massachusetts is in the most populous state in New England.",Supported,1251,"Watertown, Massachusetts is in the most populous state in New England.",Supported,"Watertown is one of fourteen Massachusetts municipalities that have applied for , and been granted , city forms of government but wish to retain `` The town of '' in their official names .","[[[16869,20883,""Watertown,_Massachusetts"",3],[16869,20883,""Massachusetts"",0]]]",gpt-5.4,claim_only,Supported,Yes,,
1251,"Watertown, Massachusetts is in the most populous state in New England.",Supported,1251,"Watertown, Massachusetts is in the most populous state in New England.",Supported,"Watertown is one of fourteen Massachusetts municipalities that have applied for , and been granted , city forms of government but wish to retain `` The town of '' in their official names .","[[[16869,20883,""Watertown,_Massachusetts"",3],[16869,20883,""Massachusetts"",0]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
1251,"Watertown, Massachusetts is in the most populous state in New England.",Supported,1251,"Watertown, Massachusetts is in the most populous state in New England.",Supported,"Watertown is one of fourteen Massachusetts municipalities that have applied for , and been granted , city forms of government but wish to retain `` The town of '' in their official names .","[[[16869,20883,""Watertown,_Massachusetts"",3],[16869,20883,""Massachusetts"",0]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
1251,"Watertown, Massachusetts is in the most populous state in New England.",Supported,1251,"Watertown, Massachusetts is in the most populous state in New England.",Supported,"Watertown is one of fourteen Massachusetts municipalities that have applied for , and been granted , city forms of government but wish to retain `` The town of '' in their official names .","[[[16869,20883,""Watertown,_Massachusetts"",3],[16869,20883,""Massachusetts"",0]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
4171,A monster is a creature.,Supported,4171,A monster is a creature.,Supported,"A monster is any creature , usually found in legends or horror fiction , that is often hideous and may produce fear or physical harm by its appearance or its actions .","[[[20414,24999,""Monster"",0]]]",gpt-5.4,claim_only,Supported,Yes,,
4171,A monster is a creature.,Supported,4171,A monster is a creature.,Supported,"A monster is any creature , usually found in legends or horror fiction , that is often hideous and may produce fear or physical harm by its appearance or its actions .","[[[20414,24999,""Monster"",0]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
4171,A monster is a creature.,Supported,4171,A monster is a creature.,Supported,"A monster is any creature , usually found in legends or horror fiction , that is often hideous and may produce fear or physical harm by its appearance or its actions .","[[[20414,24999,""Monster"",0]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
4171,A monster is a creature.,Supported,4171,A monster is a creature.,Supported,"A monster is any creature , usually found in legends or horror fiction , that is often hideous and may produce fear or physical harm by its appearance or its actions .","[[[20414,24999,""Monster"",0]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
7769,Tottenham Hotspur F.C. is Scottish.,Refuted,7769,Tottenham Hotspur F.C. is Scottish.,Refuted,"Tottenham Hotspur Football Club -LSB- ˈtɒtnəm , _ - tənəm -RSB- , commonly referred to as Spurs , is an English football club located in Tottenham , Haringey , London , that competes in the Premier League .","[[[12676,15824,""Tottenham_Hotspur_F.C."",0]],[[12676,15825,""Tottenham_Hotspur_F.C."",7]],[[12704,15853,""Tottenham_Hotspur_F.C."",0]]]",gpt-5.4,claim_only,Refuted,Yes,,
7769,Tottenham Hotspur F.C. is Scottish.,Refuted,7769,Tottenham Hotspur F.C. is Scottish.,Refuted,"Tottenham Hotspur Football Club -LSB- ˈtɒtnəm , _ - tənəm -RSB- , commonly referred to as Spurs , is an English football club located in Tottenham , Haringey , London , that competes in the Premier League .","[[[12676,15824,""Tottenham_Hotspur_F.C."",0]],[[12676,15825,""Tottenham_Hotspur_F.C."",7]],[[12704,15853,""Tottenham_Hotspur_F.C."",0]]]",gpt-5.4,claim_plus_evidence,Refuted,Yes,,
7769,Tottenham Hotspur F.C. is Scottish.,Refuted,7769,Tottenham Hotspur F.C. is Scottish.,Refuted,"Tottenham Hotspur Football Club -LSB- ˈtɒtnəm , _ - tənəm -RSB- , commonly referred to as Spurs , is an English football club located in Tottenham , Haringey , London , that competes in the Premier League .","[[[12676,15824,""Tottenham_Hotspur_F.C."",0]],[[12676,15825,""Tottenham_Hotspur_F.C."",7]],[[12704,15853,""Tottenham_Hotspur_F.C."",0]]]",gpt-5.4-mini,claim_only,Refuted,Yes,,
7769,Tottenham Hotspur F.C. is Scottish.,Refuted,7769,Tottenham Hotspur F.C. is Scottish.,Refuted,"Tottenham Hotspur Football Club -LSB- ˈtɒtnəm , _ - tənəm -RSB- , commonly referred to as Spurs , is an English football club located in Tottenham , Haringey , London , that competes in the Premier League .","[[[12676,15824,""Tottenham_Hotspur_F.C."",0]],[[12676,15825,""Tottenham_Hotspur_F.C."",7]],[[12704,15853,""Tottenham_Hotspur_F.C."",0]]]",gpt-5.4-mini,claim_plus_evidence,Refuted,Yes,,
8550,The Mirny (sloop-of-war) was commanded by a person.,Supported,8550,The Mirny (sloop-of-war) was commanded by a person.,Supported,"Mirny was a 20-gun sloop-of-war of the Imperial Russian Navy , the second ship of the First Russian Antarctic Expedition in 1819 -- 1821 , during which Faddey Bellingshausen -LRB- commander of the lead ship Vostok -RRB- and Mikhail Lazarev -LRB- commanding Mirny -RRB- circumnavigated the globe , discovered the continent of Antarctica and twice circumnavigated it , and discovered a number of islands and archipelagos in the Southern Ocean and the Pacific .","[[[13875,17377,""Mirny_-LRB-sloop-of-war-RRB-"",0]]]",gpt-5.4,claim_only,Supported,Yes,,
8550,The Mirny (sloop-of-war) was commanded by a person.,Supported,8550,The Mirny (sloop-of-war) was commanded by a person.,Supported,"Mirny was a 20-gun sloop-of-war of the Imperial Russian Navy , the second ship of the First Russian Antarctic Expedition in 1819 -- 1821 , during which Faddey Bellingshausen -LRB- commander of the lead ship Vostok -RRB- and Mikhail Lazarev -LRB- commanding Mirny -RRB- circumnavigated the globe , discovered the continent of Antarctica and twice circumnavigated it , and discovered a number of islands and archipelagos in the Southern Ocean and the Pacific .","[[[13875,17377,""Mirny_-LRB-sloop-of-war-RRB-"",0]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
8550,The Mirny (sloop-of-war) was commanded by a person.,Supported,8550,The Mirny (sloop-of-war) was commanded by a person.,Supported,"Mirny was a 20-gun sloop-of-war of the Imperial Russian Navy , the second ship of the First Russian Antarctic Expedition in 1819 -- 1821 , during which Faddey Bellingshausen -LRB- commander of the lead ship Vostok -RRB- and Mikhail Lazarev -LRB- commanding Mirny -RRB- circumnavigated the globe , discovered the continent of Antarctica and twice circumnavigated it , and discovered a number of islands and archipelagos in the Southern Ocean and the Pacific .","[[[13875,17377,""Mirny_-LRB-sloop-of-war-RRB-"",0]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
8550,The Mirny (sloop-of-war) was commanded by a person.,Supported,8550,The Mirny (sloop-of-war) was commanded by a person.,Supported,"Mirny was a 20-gun sloop-of-war of the Imperial Russian Navy , the second ship of the First Russian Antarctic Expedition in 1819 -- 1821 , during which Faddey Bellingshausen -LRB- commander of the lead ship Vostok -RRB- and Mikhail Lazarev -LRB- commanding Mirny -RRB- circumnavigated the globe , discovered the continent of Antarctica and twice circumnavigated it , and discovered a number of islands and archipelagos in the Southern Ocean and the Pacific .","[[[13875,17377,""Mirny_-LRB-sloop-of-war-RRB-"",0]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
10461,Kuching is in Sri Lanka.,Refuted,10461,Kuching is in Sri Lanka.,Refuted,"Kuching -LSB- ˈkuːtʃɪŋ -RSB- -LRB- Jawi : , -RRB- , officially the City of Kuching , is the capital and the most populous city in the state of Sarawak in Malaysia .","[[[25468,31392,""Kuching"",0]]]",gpt-5.4,claim_only,Refuted,Yes,,
10461,Kuching is in Sri Lanka.,Refuted,10461,Kuching is in Sri Lanka.,Refuted,"Kuching -LSB- ˈkuːtʃɪŋ -RSB- -LRB- Jawi : , -RRB- , officially the City of Kuching , is the capital and the most populous city in the state of Sarawak in Malaysia .","[[[25468,31392,""Kuching"",0]]]",gpt-5.4,claim_plus_evidence,Refuted,Yes,,
10461,Kuching is in Sri Lanka.,Refuted,10461,Kuching is in Sri Lanka.,Refuted,"Kuching -LSB- ˈkuːtʃɪŋ -RSB- -LRB- Jawi : , -RRB- , officially the City of Kuching , is the capital and the most populous city in the state of Sarawak in Malaysia .","[[[25468,31392,""Kuching"",0]]]",gpt-5.4-mini,claim_only,Refuted,Yes,,
10461,Kuching is in Sri Lanka.,Refuted,10461,Kuching is in Sri Lanka.,Refuted,"Kuching -LSB- ˈkuːtʃɪŋ -RSB- -LRB- Jawi : , -RRB- , officially the City of Kuching , is the capital and the most populous city in the state of Sarawak in Malaysia .","[[[25468,31392,""Kuching"",0]]]",gpt-5.4-mini,claim_plus_evidence,Refuted,Yes,,
5578,Australia (2008 film) production took place in Kununurra.,Supported,5578,Australia (2008 film) production took place in Kununurra.,Supported,"Production took place in Sydney , Darwin , Kununurra , and Bowen .","[[[23104,28449,""Australia_-LRB-2008_film-RRB-"",4]]]",gpt-5.4,claim_only,Supported,Yes,,
5578,Australia (2008 film) production took place in Kununurra.,Supported,5578,Australia (2008 film) production took place in Kununurra.,Supported,"Production took place in Sydney , Darwin , Kununurra , and Bowen .","[[[23104,28449,""Australia_-LRB-2008_film-RRB-"",4]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
5578,Australia (2008 film) production took place in Kununurra.,Supported,5578,Australia (2008 film) production took place in Kununurra.,Supported,"Production took place in Sydney , Darwin , Kununurra , and Bowen .","[[[23104,28449,""Australia_-LRB-2008_film-RRB-"",4]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
5578,Australia (2008 film) production took place in Kununurra.,Supported,5578,Australia (2008 film) production took place in Kununurra.,Supported,"Production took place in Sydney , Darwin , Kununurra , and Bowen .","[[[23104,28449,""Australia_-LRB-2008_film-RRB-"",4]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
849,John S. McCain Jr. graduated in 1931.,Supported,849,John S. McCain Jr. graduated in 1931.,Supported,"McCain grew up in Washington , D.C. , and graduated from the U.S. Naval Academy in 1931 , after which he entered the submarine service .","[[[16356,20288,""John_S._McCain_Jr."",3]]]",gpt-5.4,claim_only,Supported,Yes,,
849,John S. McCain Jr. graduated in 1931.,Supported,849,John S. McCain Jr. graduated in 1931.,Supported,"McCain grew up in Washington , D.C. , and graduated from the U.S. Naval Academy in 1931 , after which he entered the submarine service .","[[[16356,20288,""John_S._McCain_Jr."",3]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
849,John S. McCain Jr. graduated in 1931.,Supported,849,John S. McCain Jr. graduated in 1931.,Supported,"McCain grew up in Washington , D.C. , and graduated from the U.S. Naval Academy in 1931 , after which he entered the submarine service .","[[[16356,20288,""John_S._McCain_Jr."",3]]]",gpt-5.4-mini,claim_only,Refuted,No,supported_to_refuted,
849,John S. McCain Jr. graduated in 1931.,Supported,849,John S. McCain Jr. graduated in 1931.,Supported,"McCain grew up in Washington , D.C. , and graduated from the U.S. Naval Academy in 1931 , after which he entered the submarine service .","[[[16356,20288,""John_S._McCain_Jr."",3]]]",gpt-5.4-mini,claim_plus_evidence,Supported,Yes,,
3119,The University of Illinois at Chicago is located in Jamaica.,Refuted,3119,The University of Illinois at Chicago is located in Jamaica.,Refuted,"The University of Illinois at Chicago or UIC is a state-funded public research-intensive university located in Chicago , Illinois , United States .","[[[19043,23344,""University_of_Illinois_at_Chicago"",0]]]",gpt-5.4,claim_only,Refuted,Yes,,
3119,The University of Illinois at Chicago is located in Jamaica.,Refuted,3119,The University of Illinois at Chicago is located in Jamaica.,Refuted,"The University of Illinois at Chicago or UIC is a state-funded public research-intensive university located in Chicago , Illinois , United States .","[[[19043,23344,""University_of_Illinois_at_Chicago"",0]]]",gpt-5.4,claim_plus_evidence,Refuted,Yes,,
3119,The University of Illinois at Chicago is located in Jamaica.,Refuted,3119,The University of Illinois at Chicago is located in Jamaica.,Refuted,"The University of Illinois at Chicago or UIC is a state-funded public research-intensive university located in Chicago , Illinois , United States .","[[[19043,23344,""University_of_Illinois_at_Chicago"",0]]]",gpt-5.4-mini,claim_only,Refuted,Yes,,
3119,The University of Illinois at Chicago is located in Jamaica.,Refuted,3119,The University of Illinois at Chicago is located in Jamaica.,Refuted,"The University of Illinois at Chicago or UIC is a state-funded public research-intensive university located in Chicago , Illinois , United States .","[[[19043,23344,""University_of_Illinois_at_Chicago"",0]]]",gpt-5.4-mini,claim_plus_evidence,Refuted,Yes,,
10650,Rehab is Amy Winehouse's signature song.,Supported,10650,Rehab is Amy Winehouse's signature song.,Supported,"`` Rehab '' has become a critical and commercial success internationally , and has been referred to as Winehouse 's `` signature song '' .","[[[21375,26267,""Rehab_-LRB-Amy_Winehouse_song-RRB-"",5]],[[23013,28357,""Rehab_-LRB-Amy_Winehouse_song-RRB-"",5]],[[24145,29873,""Rehab_-LRB-Amy_Winehouse_song-RRB-"",5]],[[301572,292680,""Rehab_-LRB-Amy_Winehouse_song-RRB-"",5]]]",gpt-5.4,claim_only,Supported,Yes,,
10650,Rehab is Amy Winehouse's signature song.,Supported,10650,Rehab is Amy Winehouse's signature song.,Supported,"`` Rehab '' has become a critical and commercial success internationally , and has been referred to as Winehouse 's `` signature song '' .","[[[21375,26267,""Rehab_-LRB-Amy_Winehouse_song-RRB-"",5]],[[23013,28357,""Rehab_-LRB-Amy_Winehouse_song-RRB-"",5]],[[24145,29873,""Rehab_-LRB-Amy_Winehouse_song-RRB-"",5]],[[301572,292680,""Rehab_-LRB-Amy_Winehouse_song-RRB-"",5]]]",gpt-5.4,claim_plus_evidence,Supported,Yes,,
10650,Rehab is Amy Winehouse's signature song.,Supported,10650,Rehab is Amy Winehouse's signature song.,Supported,"`` Rehab '' has become a critical and commercial success internationally , and has been referred to as Winehouse 's `` signature song '' .","[[[21375,26267,""Rehab_-LRB-Amy_Winehouse_song-RRB-"",5]],[[23013,28357,""Rehab_-LRB-Amy_Winehouse_song-RRB-"",5]],[[24145,29873,""Rehab_-LRB-Amy_Winehouse_song-RRB-"",5]],[[301572,292680,""Rehab_-LRB-Amy_Winehouse_song-RRB-"",5]]]",gpt-5.4-mini,claim_only,Supported,Yes,,
